,X,Y,Z,ID,TOF
0,-1.1863,0.165,-0.3975,1,1266
1,-1.4129,-0.7651,0.7834,2,554
2,-1.4,-0.7414,0.7976,0,1116
3,-1.0024,-0.9036,0.993,1,881
4,-0.9584,-0.8376,0.911,2,550
5,-1.0118,-0.9744,0.8526,0,1121
6,-0.9781,-0.9871,0.8705,1,882
7,-0.9425,-0.9406,0.8008,2,559
8,-0.9575,-0.9794,0.7833,0,1124
9,-0.9329,-0.9912,0.7996,1,881
10,-0.9404,-0.9995,0.8107,2,548
11,-0.9326,-0.9838,0.8205,0,1119
12,-0.9446,-0.98,0.8144,1,883
13,-0.9493,-0.9843,0.8208,2,547
14,-0.9537,-0.9948,0.818,0,1124
15,-0.9621,-0.992,0.8126,1,886
16,-0.9605,-0.9899,0.8096,2,547
17,-0.9587,-0.9901,0.809,0,1125
18,-0.9535,-0.9941,0.8128,1,884
19,-0.9503,-0.9902,0.8062,2,549
20,-0.9373,-0.9584,0.8206,0,1113
21,-0.9387,-0.9599,0.8221,1,882
22,-0.9428,-0.9639,0.8288,2,549
23,-0.9479,-0.98,0.8244,0,1119
24,-0.9422,-0.9833,0.8284,1,880
25,-0.9349,-0.9737,0.8134,2,552
26,-0.9376,-0.983,0.8116,0,1120
27,-0.9389,-0.9852,0.8116,1,881
28,-0.9395,-0.9847,0.8111,2,550
29,-0.9274,-0.9563,0.8232,0,1111
30,-0.9273,-0.9572,0.8239,1,879
31,-0.9278,-0.9569,0.824,2,553
32,-0.9376,-0.983,0.8154,0,1120
33,-0.9474,-0.9789,0.8098,1,884
34,-0.9476,-0.9774,0.8084,2,551
35,-0.9453,-0.9753,0.8077,0,1120
36,-0.9444,-0.9759,0.8067,1,884
37,-0.9457,-0.9774,0.8084,2,551
38,-0.9373,-0.9584,0.8168,0,1113
39,-0.9245,-0.9643,0.8256,1,878
40,-0.9305,-0.973,0.8377,2,547
41,-0.9387,-0.9936,0.8295,0,1121
42,-0.9537,-0.9891,0.8205,1,883
43,-0.9449,-0.9777,0.8013,2,553
44,-0.9357,-0.9605,0.8104,0,1115
45,-0.9327,-0.963,0.813,1,882
46,-0.9307,-0.961,0.8093,2,555
47,-0.9319,-0.9643,0.8104,0,1115
48,-0.9327,-0.966,0.81,1,882
49,-0.9321,-0.9665,0.81,2,554
50,-0.9398,-0.9851,0.8013,0,1122
51,-0.9331,-0.9893,0.8072,1,880
52,-0.9316,-0.9872,0.8013,2,553
53,-0.9299,-0.983,0.8039,0,1120
54,-0.9329,-0.9822,0.8026,1,881
55,-0.9321,-0.9817,0.8005,2,554
56,-0.9276,-0.9732,0.8065,0,1118
57,-0.9439,-0.9677,0.7974,1,886
58,-0.9481,-0.9737,0.8058,2,552
59,-0.9502,-0.9783,0.8064,0,1121
60,-0.9502,-0.9779,0.8081,1,885
61,-0.9454,-0.9722,0.7986,2,554
62,-0.9395,-0.9567,0.8065,0,1115
63,-0.9327,-0.9599,0.81,1,882
64,-0.9326,-0.959,0.8093,2,555
65,-0.9398,-0.9812,0.8013,0,1122
66,-0.9188,-0.9905,0.8138,1,876
67,-0.9235,-0.9957,0.822,2,548
68,-0.9267,-1.0064,0.818,0,1124
69,-0.9391,-1.0014,0.8102,1,880
70,-0.9266,-0.9844,0.7843,2,558
