,X,Y,Z,ID,TOF
0,1.2005,-1.4856,2.0345,2,175
1,0.8184,0.1974,2.1327,0,642
2,0.1203,2.2404,2.0265,1,1286
3,-0.2244,1.4552,2.0731,2,1078
4,-0.8167,0.5143,1.879,0,639
5,-1.5053,1.2239,1.7747,1,1287
6,-1.4789,1.7009,1.7023,2,1073
7,-1.6424,1.6441,1.6539,0,636
8,-1.3708,1.3412,1.708,1,1288
9,-1.336,1.7127,1.6456,2,1082
10,-1.6178,1.6078,1.5436,0,643
11,-1.3573,1.3178,1.604,1,1284
12,-1.3243,1.6604,1.5366,2,1073
13,-1.5701,1.5611,1.4305,0,647
14,-1.3396,1.2996,1.4951,1,1282
15,-1.3055,1.6342,1.4181,2,1074
16,-1.4845,1.5588,1.3281,0,638
17,-1.289,1.3336,1.3875,1,1285
18,-1.2576,1.6048,1.3149,2,1074
19,-1.4117,1.5338,1.2247,0,637
20,-1.245,1.338,1.2817,1,1285
21,-1.2139,1.5647,1.2164,2,1073
22,-1.3396,1.5032,1.133,0,637
23,-1.2117,1.35,1.1823,1,1288
24,-1.1859,1.5219,1.1276,2,1070
25,-1.2636,1.4816,1.0702,0,632
26,-1.1675,1.3633,1.1116,1,1288
27,-1.1507,1.4866,1.0686,2,1067
28,-1.2461,1.4323,0.9933,0,647
29,-1.1633,1.3317,1.034,1,1286
30,-1.1366,1.4986,0.9726,2,1080
31,-1.1734,1.4783,0.9406,0,636
32,-1.0863,1.3688,0.982,1,1285
33,-1.0717,1.4669,0.9466,2,1077
34,-1.128,1.4334,0.895,0,640
35,-1.0727,1.3651,0.9227,1,1287
36,-1.063,1.4285,0.8963,2,1073
37,-1.0884,1.4129,0.873,0,639
38,-1.0571,1.3721,0.8907,1,1288
39,-1.0452,1.4331,0.8677,2,1078
40,-1.06,1.4238,0.8533,0,636
41,-1.0266,1.3802,0.8752,1,1286
42,-1.0156,1.4406,0.8488,2,1084
43,-1.0273,1.4339,0.8361,0,632
44,-0.9997,1.3986,0.851,1,1288
45,-0.9985,1.4084,0.8482,2,1076
46,-1.0184,1.3939,0.8271,0,637
47,-1.0045,1.3758,0.8355,1,1286
48,-1.0022,1.3973,0.826,2,1076
49,-1.0224,1.385,0.8048,0,643
50,-1.0109,1.3696,0.8123,1,1287
51,-1.0102,1.3868,0.8052,2,1075
52,-0.9927,1.3992,0.8253,0,632
53,-0.9849,1.3865,0.8322,1,1285
54,-0.985,1.3911,0.8324,2,1074
55,-1.0113,1.3718,0.8048,0,643
56,-1.0026,1.3644,0.8101,1,1285
57,-0.9985,1.3862,0.8002,2,1076
58,-0.9964,1.3866,0.8007,0,639
59,-0.9889,1.3784,0.8035,1,1287
60,-0.9894,1.377,0.8043,2,1073
61,-0.9878,1.3771,0.8051,0,638
62,-0.9869,1.3802,0.8046,1,1286
63,-0.9867,1.3893,0.8025,2,1077
64,-0.9816,1.394,0.8077,0,634
65,-0.9859,1.3994,0.8045,1,1290
66,-0.9891,1.3992,0.8072,2,1079
67,-1.0028,1.3902,0.7939,0,641
68,-0.9953,1.381,0.798,1,1288
69,-0.9954,1.3831,0.7979,2,1075
70,-0.9963,1.3829,0.7984,0,640
71,-0.9913,1.3758,0.8046,1,1286
72,-0.9865,1.4078,0.7907,2,1083
73,-0.9858,1.4085,0.7922,0,636
74,-0.979,1.4019,0.7946,1,1291
75,-0.9817,1.3955,0.7998,2,1079
76,-0.996,1.3865,0.785,0,642
77,-0.9849,1.3732,0.7925,1,1285
78,-0.9877,1.3604,0.7973,2,1070
79,-0.975,1.3708,0.812,0,635
80,-0.9805,1.3821,0.8101,1,1285
81,-0.978,1.3955,0.8035,2,1079
82,-0.969,1.4022,0.8125,0,630
83,-0.9687,1.403,0.8112,1,1288
84,-0.9639,1.43,0.8012,2,1089
85,-0.9711,1.4267,0.7929,0,631
86,-0.971,1.4282,0.7934,1,1296
87,-0.976,1.4084,0.8032,2,1082
88,-0.9712,1.413,0.8082,0,630
89,-0.978,1.4256,0.8034,1,1295
90,-0.9848,1.406,0.8133,2,1080
91,-0.9923,1.3998,0.8053,0,636
92,-0.9962,1.4027,0.8056,1,1293
93,-0.9933,1.4183,0.8005,2,1084
94,-0.9883,1.423,0.8058,0,632
95,-0.9908,1.4263,0.8056,1,1297
96,-0.9868,1.4529,0.7946,2,1094
97,-0.9821,1.4569,0.7999,0,628
98,-0.9646,1.4389,0.8079,1,1295
99,-0.967,1.4368,0.8111,2,1090
100,-0.9797,1.4274,0.7971,0,632
101,-0.9897,1.4411,0.7922,1,1301
102,-0.9951,1.4276,0.8002,2,1087
103,-0.9926,1.4281,0.8013,0,633
104,-0.9908,1.4263,0.8056,1,1297
105,-0.9907,1.4344,0.8026,2,1088
106,-0.9737,1.4453,0.8199,0,624
107,-0.9807,1.4545,0.8146,1,1301
108,-0.9883,1.4319,0.8239,2,1086
109,-0.997,1.4252,0.8144,0,632
110,-0.9972,1.4289,0.8134,1,1298
111,-0.9969,1.4443,0.8074,2,1090
112,-0.9907,1.4482,0.8128,0,628
113,-0.9799,1.4371,0.8201,1,1296
114,-0.9788,1.4412,0.8199,2,1089
115,-1.0011,1.426,0.7944,0,636
116,-0.9933,1.4148,0.7978,1,1296
117,-0.9913,1.4238,0.7927,2,1087
118,-0.9777,1.4339,0.8062,0,629
119,-0.9852,1.4456,0.8012,1,1301
120,-0.9907,1.4344,0.8063,2,1088
121,-0.9864,1.4382,0.8105,0,629
122,-0.978,1.43,0.8167,1,1295
123,-0.9788,1.4375,0.8125,2,1089
124,-0.9946,1.4274,0.7945,0,635
125,-0.9927,1.4245,0.7956,1,1298
126,-0.9963,1.4214,0.7992,2,1085
127,-0.98,1.4324,0.8173,0,627
128,-0.978,1.43,0.8167,1,1295
129,-0.9762,1.4498,0.8072,2,1093
130,-0.9821,1.4468,0.8019,0,629
131,-0.9813,1.4449,0.8034,1,1299
132,-0.9883,1.4282,0.8127,2,1086
133,-0.9948,1.4238,0.8057,0,633
134,-0.9972,1.4245,0.8045,1,1298
135,-0.9982,1.4344,0.8026,2,1088
136,-0.997,1.4361,0.8058,0,632
137,-0.9966,1.4341,0.8067,1,1300
138,-1.0026,1.4127,0.8157,2,1081
139,-0.9844,1.4268,0.8368,0,625
140,-0.9966,1.443,0.829,1,1300
141,-0.9962,1.4549,0.8248,2,1091
142,-1.0121,1.4455,0.8078,0,633
143,-0.9913,1.4211,0.8212,1,1295
144,-0.99,1.4412,0.8125,2,1089
145,-0.9991,1.4346,0.8035,0,633
146,-0.9947,1.4315,0.8079,1,1299
147,-0.9906,1.4529,0.7983,2,1094
148,-0.9801,1.4611,0.8111,0,625
149,-0.9666,1.446,0.8201,1,1296
150,-0.9696,1.4319,0.8276,2,1086
151,-0.9883,1.4187,0.8079,0,632
152,-1.0005,1.4392,0.8001,1,1302
153,-1.0038,1.4251,0.8066,2,1085
154,-0.9886,1.4368,0.8237,0,627
155,-0.9863,1.4352,0.8234,1,1297
156,-0.9857,1.4443,0.8186,2,1090
157,-0.9907,1.4403,0.8127,0,629
158,-0.9883,1.4378,0.8134,1,1298
159,-0.9933,1.4257,0.8191,2,1084
160,-1.0012,1.4201,0.8099,0,634
161,-0.9977,1.4193,0.8112,1,1296
162,-0.9963,1.4251,0.8103,2,1085
163,-0.9885,1.4296,0.817,0,629
164,-0.9869,1.4256,0.8212,1,1295
165,-0.9902,1.4226,0.8241,2,1083
166,-0.9823,1.4289,0.8326,0,625
167,-0.9986,1.45,0.8235,1,1301
168,-1.0025,1.4425,0.8263,2,1087
169,-0.9994,1.4453,0.828,0,627
170,-0.9888,1.4326,0.8334,1,1296
171,-0.9889,1.4325,0.8326,2,1085
172,-1.0077,1.4187,0.812,0,635
173,-0.9987,1.4045,0.82,1,1292
174,-0.9976,1.4189,0.813,2,1083
175,-0.9906,1.4238,0.819,0,630
176,-0.9893,1.423,0.8223,1,1294
177,-0.9843,1.4505,0.8122,2,1092
178,-0.9822,1.4511,0.8131,0,626
179,-0.9813,1.4493,0.8168,1,1299
