,X,Y,Z,ID,TOF
0,3.0316,3.256,1.9875,1,1576
1,1.1733,1.2184,2.096,2,1243
2,1.6157,0.6275,2.0126,0,628
3,1.634,1.3517,1.947,1,961
4,1.3457,1.0708,1.9753,2,1249
5,1.6481,0.692,1.8921,0,624
6,1.6704,1.3387,1.8048,1,962
7,1.3628,1.0409,1.8467,2,1249
8,1.6245,0.7086,1.7436,0,625
9,1.6403,1.2955,1.6325,1,958
10,1.3445,1.01,1.69,2,1245
11,1.5563,0.7288,1.5722,0,623
12,1.5581,1.2527,1.4395,1,957
13,1.3012,1.001,1.5034,2,1243
14,1.4799,0.7525,1.3642,0,628
15,1.4692,1.2001,1.2186,1,961
16,1.252,0.9859,1.291,2,1242
17,1.3678,0.8161,1.1687,0,624
18,1.3474,1.131,1.0451,1,960
19,5.3783,5.188,-0.5592,2,3042
20,2.0045,3.283,1.3237,0,622
21,1.8276,1.2922,1.6785,1,958
22,1.4349,0.9335,1.7447,2,1247
23,1.6112,0.7068,1.6627,0,629
24,1.6245,1.3025,1.5313,1,966
25,1.325,1.0076,1.6009,2,1244
26,1.5123,0.7561,1.4789,0,619
27,1.5089,1.2232,1.3453,1,956
28,1.2823,1.0034,1.4089,2,1244
29,1.4324,0.7929,1.2752,0,623
30,1.4199,1.1705,1.1406,1,960
31,1.2236,0.9746,1.2126,2,1239
32,1.3211,0.8238,1.0968,0,627
33,1.3016,1.0982,0.9839,1,959
34,1.1706,0.9642,1.0416,2,1240
35,1.2258,0.871,0.9593,0,628
36,1.2069,1.0361,0.8848,1,957
37,1.1327,0.9603,0.9204,2,1242
38,1.1506,0.9301,0.8907,0,620
39,1.1383,1.0346,0.8417,1,964
40,1.0791,0.9703,0.8726,2,1239
41,1.1054,0.9203,0.8233,0,630
42,1.0958,0.9985,0.787,1,963
43,1.069,0.9692,0.803,2,1244
44,1.0771,0.9528,0.7869,0,628
45,1.0741,0.9762,0.7751,1,960
46,1.058,0.958,0.7852,2,1241
47,1.0507,0.9705,0.7993,0,620
48,1.0511,0.9828,0.7949,1,960
49,1.0342,0.9676,0.8039,2,1236
50,1.0335,0.9664,0.804,0,618
51,1.0319,0.9765,0.7997,1,959
52,1.0434,0.9906,0.7944,2,1244
53,1.059,0.9592,0.7583,0,631
54,1.063,0.9543,0.7616,1,956
55,1.058,0.9495,0.7639,2,1241
56,1.0477,0.9681,0.7837,0,623
57,1.0478,0.9762,0.7817,1,960
58,1.0519,0.9778,0.7817,2,1244
59,1.0451,0.9898,0.7936,0,617
60,1.0473,0.9859,0.7967,1,961
61,1.0454,0.984,0.7999,2,1243
62,1.0497,0.9747,0.7884,0,621
63,1.0521,0.9735,0.7913,1,958
64,5.034,5.1776,-1.3313,2,3042
65,1.8615,3.2617,1.0911,0,622
66,1.7393,1.2792,1.5325,1,960
67,1.402,0.9641,1.6058,2,1251
68,1.5527,0.7689,1.515,0,619
69,1.5516,1.2495,1.3876,1,960
70,1.3018,1.0015,1.4552,2,1245
71,1.4529,0.7922,1.3303,0,619
72,1.4396,1.1903,1.1966,1,960
73,1.2604,1.0113,1.2582,2,1251
74,1.3825,0.8341,1.1255,0,629
75,1.3676,1.1115,1.0148,1,958
76,1.214,0.9564,1.0803,2,1244
77,1.2627,0.8809,1.0163,0,621
78,1.2444,1.0844,0.9291,1,963
79,1.1435,0.9797,0.9747,2,1243
80,1.1769,0.9239,0.9205,0,619
81,1.1614,1.0479,0.8649,1,964
82,1.1053,0.9886,0.8958,2,1245
83,1.1285,0.9491,0.8545,0,621
84,1.1193,1.0153,0.8216,1,962
85,1.0795,0.9754,0.8425,2,1243
86,1.0892,0.9554,0.8223,0,622
87,1.085,0.9866,0.8078,1,958
88,1.0688,0.9688,0.8181,2,1242
89,1.071,0.9619,0.8118,0,621
90,1.069,0.9803,0.8027,1,957
91,1.0691,0.9824,0.8049,2,1246
92,1.0686,0.9812,0.8038,0,619
93,1.0685,0.9833,0.8045,1,958
94,1.058,0.9708,0.8107,2,1241
95,1.0709,0.9441,0.7823,0,630
96,1.0675,0.9729,0.7685,1,960
97,1.0582,0.9626,0.7743,2,1243
98,1.0541,0.9703,0.7837,0,623
99,1.0549,0.9732,0.7832,1,959
100,1.0761,0.9945,0.771,2,1253
101,1.0683,1.0088,0.7873,0,617
102,1.0722,1.0016,0.7921,1,964
103,1.0694,1.0004,0.796,2,1250
104,1.0767,0.9852,0.7792,0,624
105,1.075,0.9947,0.7741,1,965
106,1.0694,0.9875,0.7788,2,1250
107,1.0726,0.9808,0.7702,0,626
108,1.0736,0.9793,0.7703,1,961
109,1.0604,0.965,0.7774,2,1244
110,1.0539,0.9768,0.7884,0,621
111,1.0528,0.9886,0.7837,1,963
112,1.0388,0.9727,0.7907,2,1240
113,1.0436,0.9616,0.779,0,625
114,1.0445,0.9729,0.7751,1,960
115,1.0366,0.9661,0.7791,2,1239
116,1.0349,0.966,0.7794,0,623
117,1.0357,0.9669,0.7815,1,958
118,1.03,0.9591,0.7869,2,1236
119,1.0273,0.9641,0.7929,0,620
120,1.0259,0.9883,0.7822,1,964
121,1.0371,1.0019,0.7781,2,1247
122,1.04,0.996,0.7695,0,620
123,1.0445,0.9762,0.7817,1,960
124,1.0542,0.989,0.7781,2,1247
125,1.0551,0.9874,0.7754,0,622
126,1.0587,0.9702,0.7848,1,958
