,X,Y,Z,ID,TOF
0,0.2037,4.5346,0.7471000000000001,1,1975
1,-0.6886,1.5008,1.4488000000000003,2,1068
2,-1.0125,1.2335,1.1965000000000003,0,593
3,-0.6176,0.7468,1.3582,1,1037
4,-0.376,1.348,1.1603000000000003,2,1078
5,-0.5553,1.0971,0.8866,0,596
6,-0.3562,0.8135,1.0156,1,1038
7,-0.1939,1.1463,0.8671000000000002,2,1076
8,-0.2333,1.0563,0.7624000000000004,0,595
9,-0.1332,0.8892,0.8477000000000001,1,1041
10,-0.0536,1.0319,0.7785000000000002,2,1076
11,-0.0592,1.0096,0.7527000000000004,0,594
12,-3.0147,6.4297,-2.0061,1,3042
13,-2.2066,1.312,0.5943,2,1071
14,-1.2728,1.6904,1.1998000000000002,0,590
15,-0.5882,0.8152,1.4555000000000002,1,1040
16,-0.3723,1.3573,1.3013000000000003,2,1069
17,-0.6095,1.0252,0.9847000000000001,0,598
18,-0.4307,0.7833,1.0890000000000004,1,1036
19,-0.2378,1.1993,0.9114000000000004,2,1079
20,-0.304,1.0682,0.7582000000000004,0,600
21,-0.1664,0.8463,0.8692000000000002,1,1033
22,-0.0656,1.0273,0.7789000000000001,2,1073
23,-0.0728,1.003,0.7517,0,596
24,-0.0236,0.914,0.7998000000000003,1,1037
25,0.0197,0.9894,0.7610000000000001,2,1078
26,0.0218,0.992,0.7642000000000002,0,591
27,0.0461,0.9487,0.7877000000000001,1,1038
28,0.0603,0.9746,0.7758000000000003,2,1078
29,0.059,0.9647,0.7649000000000004,0,594
30,0.0632,0.9606,0.7692000000000001,1,1041
31,0.0428,0.9322,0.7861000000000002,2,1065
32,0.0481,0.9548,0.8105000000000002,0,587
33,0.0504,0.9511,0.8132000000000001,1,1035
34,0.0465,0.9469,0.8153000000000001,2,1065
35,0.0413,0.9156,0.7825000000000002,0,601
36,0.0377,0.9235,0.7792000000000003,1,1034
37,0.0554,0.9554,0.7614000000000001,2,1075
38,0.0569,0.9627,0.7690000000000001,0,594
39,0.0625,0.9551,0.7756000000000003,1,1039
40,0.0677,0.9672,0.7721,2,1078
41,0.0671,0.9627,0.7669000000000001,0,594
42,0.071,0.9523,0.7735000000000003,1,1038
43,0.0751,0.9598,0.7684000000000002,2,1078
44,0.0731,0.947,0.7565000000000004,0,599
45,0.0817,0.9314,0.7664000000000004,1,1033
46,3.3437,6.1897,-1.9336000000000002,2,3042
47,1.2779,3.5461,0.9331,0,588
48,1.3773,1.5357,1.4198000000000004,1,1040
49,0.7095,0.7833,1.5990000000000002,2,1074
50,0.7813,0.4806,1.4751000000000003,0,601
51,0.5186,1.3186,1.2068000000000003,1,1039
52,0.3042,1.0007,1.3078000000000003,2,1070
53,0.2974,0.6721,1.0786000000000002,0,593
54,0.125,1.0363,0.9162000000000003,1,1035
55,0.1037,1.0016,0.9335000000000004,2,1073
56,0.0846,0.8906,0.8253000000000004,0,596
57,0.0532,0.9523,0.7948000000000004,1,1038
58,0.0595,0.9611,0.7899000000000003,2,1073
59,0.0613,0.9622,0.7915000000000001,0,589
60,0.0596,0.9678,0.7906000000000004,1,1041
61,0.0608,0.9729,0.7896000000000001,2,1076
62,0.0603,0.9636,0.7804000000000002,0,591
63,0.0682,0.9475,0.7884000000000002,1,1035
64,0.0739,0.9554,0.7835000000000001,2,1075
65,0.0693,0.9294,0.7549000000000001,0,603
66,0.0639,0.9381,0.7521000000000004,1,1038
67,0.0599,0.9337,0.7559,2,1071
68,0.0664,0.9595,0.7845000000000004,0,591
69,0.076,0.9427,0.7962000000000002,1,1032
70,0.0647,0.9286,0.8044000000000002,2,1065
71,0.0655,0.9284,0.8040000000000003,0,593
72,0.0489,0.9606,0.7871000000000001,1,1041
73,0.0469,0.9621,0.7876000000000003,2,1072
74,0.0496,0.9686,0.7939000000000003,0,588
75,0.0568,0.9594,0.7984,1,1038
76,0.0448,0.9405,0.8094000000000001,2,1064
77,0.0432,0.925,0.7943000000000002,0,597
78,0.0325,0.9472,0.7849000000000004,1,1040
79,0.0395,0.9621,0.7802000000000002,2,1072
80,0.0356,0.9447,0.7623000000000002,0,600
81,0.0498,0.9207,0.7770000000000001,1,1033
82,0.0649,0.9491,0.7628000000000004,2,1074
83,0.0689,0.9659,0.7809000000000004,0,590
84,0.0703,0.9678,0.7799,1,1041
85,0.0649,0.9601,0.7849000000000004,2,1074
86,0.0655,0.9549,0.7796000000000003,0,593
87,0.0646,0.9614,0.7778,1,1040
