,X,Y,Z,ID,TOF
0,-1.1648,2.1021,-1.7328,2,1833
1,-0.2114,2.2546,0.8048,0,453
2,-0.0088,1.7792,0.9719,1,1231
3,0.1669,2.161,0.8384,2,1375
4,0.1522,2.1456,0.712,0,457
5,0.2635,1.828,0.8348,1,1229
6,0.3802,2.0538,0.7506,2,1382
7,0.3811,2.0478,0.7149,0,458
8,0.4336,1.8752,0.7849,1,1232
9,0.4861,1.9733,0.7466,2,1377
10,0.4837,1.9788,0.7634,0,450
11,0.5038,1.9067,0.791,1,1234
12,0.5252,1.945,0.7803,2,1372
13,0.5271,1.9414,0.7642,0,454
14,0.5336,1.9223,0.7723,1,1239
15,0.5475,1.9449,0.7655,2,1377
16,0.5492,1.9426,0.7526,0,458
17,0.5564,1.9203,0.762,1,1237
18,0.56,1.9327,0.7572,2,1376
19,0.5552,1.9393,0.7802,0,451
20,0.5622,1.9226,0.7898,1,1235
21,0.5694,1.9374,0.7855,2,1376
22,0.5702,1.936,0.7752,0,453
23,0.575,1.9226,0.7813,1,1235
24,0.5805,1.9308,0.7797,2,1377
25,0.5817,1.9277,0.7653,0,457
26,0.5811,1.9319,0.765,1,1238
27,0.5789,1.928,0.7666,2,1376
28,0.5743,1.935,0.7914,0,449
29,0.5776,1.933,0.7917,1,1237
30,0.5822,1.9383,0.7881,2,1378
31,0.5842,1.9333,0.7686,0,456
32,0.5908,1.9101,0.7776,1,1231
33,0.5881,1.9102,0.7793,2,1373
34,0.5907,1.9042,0.7553,0,462
35,0.5853,1.9234,0.748,1,1238
36,0.5772,1.9157,0.7535,2,1375
37,0.5723,1.9227,0.7767,0,454
38,0.5726,1.9319,0.7735,1,1238
39,0.5612,1.9187,0.7814,2,1371
40,0.5594,1.9217,0.7881,0,450
41,0.5654,1.9101,0.7945,1,1231
42,0.5756,1.9271,0.7876,2,1374
43,0.5823,1.9151,0.7441,0,464
44,0.5873,1.8943,0.7535,1,1230
45,0.593,1.9091,0.7477,2,1376
46,0.5901,1.9115,0.757,0,461
47,0.5911,1.9214,0.7547,1,1236
48,0.5867,1.9157,0.7582,2,1375
49,0.5854,1.9174,0.7652,0,458
50,0.5877,1.9183,0.7644,1,1235
51,0.5999,1.9381,0.759,2,1383
52,0.5983,1.9412,0.7686,0,456
53,0.6008,1.9424,0.7711,1,1240
54,0.58,1.9093,0.7861,2,1371
55,0.5838,1.902,0.7586,0,461
56,0.5811,1.9234,0.7523,1,1238
57,0.5789,1.9185,0.7572,2,1376
58,0.5785,1.9187,0.7571,0,460
59,0.58,1.911,0.7614,1,1234
60,0.5737,1.9018,0.7684,2,1370
61,0.5697,1.9074,0.7878,0,452
62,0.5665,1.9226,0.7856,1,1235
63,0.5709,1.9271,0.7829,2,1374
64,0.5723,1.923,0.7653,0,457
65,0.5718,1.9308,0.7638,1,1239
66,0.576,1.9392,0.7623,2,1380
67,0.5754,1.9387,0.7606,0,457
68,0.5834,1.9183,0.7686,1,1235
69,0.5886,1.9316,0.7633,2,1379
70,0.5857,1.936,0.7783,0,453
71,0.5877,1.9268,0.7813,1,1235
72,0.585,1.9224,0.7829,2,1374
73,0.5869,1.9174,0.7652,0,458
74,0.5877,1.9183,0.7644,1,1235
75,0.5833,1.9102,0.7698,2,1373
76,0.5816,1.9133,0.7798,0,454
77,0.5815,1.9132,0.7807,1,1232
78,0.5867,1.9205,0.7771,2,1375
79,0.5901,1.9146,0.7554,0,461
80,0.5911,1.9214,0.7547,1,1236
81,0.5817,1.9073,0.7615,2,1372
82,0.5796,1.9114,0.7733,0,456
83,0.5815,1.909,0.7764,1,1232
84,0.5916,1.9288,0.7691,2,1378
85,0.5894,1.932,0.7767,0,454
86,0.5934,1.9206,0.7837,1,1233
87,0.5947,1.926,0.7844,2,1377
88,0.5979,1.9221,0.7667,0,458
89,0.6004,1.9226,0.7686,1,1235
90,0.5978,1.9185,0.7713,2,1376
91,0.5945,1.923,0.7863,0,452
92,0.5977,1.9248,0.7879,1,1233
93,0.6011,1.9288,0.7881,2,1378
94,0.6048,1.9228,0.7635,0,459
95,0.6069,1.9132,0.768,1,1232
