,X,Y,Z,ID,TOF
0,-0.7158,-8.6619,-1.5802,2,2354
1,0.0065,-1.1196,1.0525,0,1073
2,0.1147,-1.1766,1.1365,1,572
3,0.5624,-0.9919,0.8595,2,822
4,0.565,-1.0333,0.8443,0,1069
5,0.5433,-1.0133,0.8127,1,576
6,0.5508,-1.0112,0.8092,2,825
7,0.5503,-1.0187,0.8077,0,1069
8,0.5579,-1.0251,0.8192,1,571
9,0.5567,-1.0275,0.8211,2,823
10,0.5546,-1.0354,0.8183,0,1072
11,0.5609,-1.0412,0.8253,1,567
12,0.5761,-1.0373,0.817,2,827
13,0.5723,-1.0223,0.8223,0,1069
14,0.5643,-1.0161,0.8103,1,573
15,0.5593,-1.0197,0.8148,2,825
16,0.5568,-1.0097,0.8204,0,1065
17,0.5668,-1.0198,0.8351,1,567
18,0.5844,-1.0141,0.8232,2,830
19,0.5836,-1.0255,0.821,0,1070
20,0.5721,-1.0161,0.8044,1,573
21,0.562,-1.0214,0.8102,2,826
22,0.5609,-1.0124,0.814,0,1067
23,0.5709,-1.0201,0.8267,1,568
24,0.5705,-1.0214,0.8272,2,826
25,0.5671,-1.004,0.8354,0,1062
26,0.5569,-0.9951,0.8211,1,575
27,0.5755,-0.988,0.8094,2,833
28,0.5762,-1.0181,0.799,0,1070
29,0.5763,-1.0184,0.798,1,574
30,0.5484,-1.0297,0.8162,2,821
31,0.5475,-1.0386,0.8133,0,1073
32,0.5396,-1.0315,0.8003,1,577
33,0.5454,-1.0303,0.7986,2,823
34,0.5432,-1.0218,0.8026,0,1070
35,0.5575,-1.0341,0.8223,1,569
36,0.5842,-1.0234,0.8054,2,832
37,0.5838,-1.0249,0.805,0,1071
38,0.5834,-1.0232,0.8036,1,571
39,0.565,-1.031,0.8148,2,825
40,0.563,-1.0475,0.8079,0,1077
41,0.5581,-1.0432,0.801,1,572
42,0.5538,-1.0444,0.8042,2,823
43,0.5515,-1.0412,0.8069,0,1075
44,0.5557,-1.0443,0.812,1,570
45,0.5539,-1.0455,0.8116,2,822
46,0.5509,-1.0354,0.8183,0,1072
47,0.5483,-1.0333,0.8148,1,572
48,0.5812,-1.0223,0.7951,2,833
49,0.5794,-1.0119,0.8017,0,1068
50,0.58,-1.0121,0.8024,1,573
51,0.5484,-1.0241,0.8218,2,821
52,0.5467,-1.026,0.8223,0,1069
53,0.5446,-1.0239,0.8182,1,573
