,X,Y,Z,ID,TOF
0,-1.7007,2.6003,1.5310000000000001,1,1640
1,-1.6989,0.9835,1.7857000000000003,2,860
2,-1.8742,0.867,1.7474000000000003,0,788
3,-0.6469,-0.138,1.9289,1,831
4,-0.2108,0.6057,1.8004000000000002,2,866
5,-0.4645,-0.2037,1.5944000000000003,0,800
6,-0.5554,-0.1244,1.5661,1,832
7,-0.1911,0.4521,1.35,2,862
8,-0.3353,-0.0728,1.1017000000000001,0,803
9,-0.3157,-0.0902,1.1152000000000002,1,832
10,-0.1005,0.1973,0.9405000000000001,2,863
11,-0.1325,0.0296,0.8398000000000003,0,800
12,-0.0758,-0.0342,0.8861000000000003,1,829
13,0.0079,0.0624,0.8166000000000002,2,870
14,0.0064,0.0438,0.8059000000000003,0,796
15,0.0305,0.0136,0.8275000000000001,1,830
16,0.0417,0.0273,0.8182,2,869
17,0.0437,0.0447,0.8285,0,791
18,0.0414,0.0482,0.8276000000000003,0,835
19,0.0486,0.0387,0.8344,1,831
20,4.4079,4.948,-2.6743999999999994,2,3042
21,1.9428,3.3707,0.30050000000000043,0,795
22,2.2754,7.8383,-1.3382999999999994,1,3042
23,-0.6373,0.68,1.2854,2,867
24,-0.9016,0.2296,1.0255,0,797
25,-0.4583,-0.1615,1.2493000000000003,1,832
26,-0.1502,0.2794,1.0028000000000001,2,865
27,1.0,1.0,1.0,2,2137
28,1.2646,0.4651,0.4988,1,798
29,0.3909,-0.2407,1.0177,0,863
30,0.1617,0.0969,0.772,1,835
31,0.0643,-0.0076,0.8503,2,864
32,0.0644,-0.0065,0.8503,1,802
33,0.0602,-0.0121,0.8536,1,862
34,0.0664,-0.0054,0.8487,2,865
35,0.0682,0.0023,0.8528,0,799
36,0.0411,0.0354,0.8287,1,832
37,0.0318,0.0258,0.8365,2,867
38,0.0337,0.0275,0.839,0,796
39,0.0242,0.0396,0.8293,1,835
40,0.0179,0.0325,0.8352,2,866
41,0.0188,0.0242,0.8309,0,799
42,0.0266,0.0169,0.8366,1,829
43,0.0238,0.0138,0.8401,2,863
44,0.0232,0.0073,0.8366,0,802
45,0.0209,0.0112,0.8338,1,829
46,0.0248,0.0183,0.8309,2,865
47,0.0282,0.0302,0.839,0,796
48,0.0323,0.0255,0.8423,1,829
49,0.0288,0.022,0.8444,2,864
50,0.0298,0.016,0.8419,0,799
51,0.0211,0.0268,0.8344,1,832
52,0.0189,0.0272,0.8368,2,865
53,0.0173,0.0099,0.8265,0,803
54,0.0191,0.0079,0.8293,1,830
55,0.0248,0.0153,0.825,2,865
