,X,Y,Z,ID,TOF
0,-0.1886,0.2613,-0.1794,2,1080
1,-0.1774,0.3072,-0.1261,0,926
2,0.5006,-0.5728,0.809,1,652
3,0.536,-0.5533,0.787,2,877
4,0.5309,-0.4836,0.8236,0,926
5,0.5454,-0.5034,0.8448,1,652
6,0.5578,-0.4971,0.8392,2,882
7,0.5561,-0.4901,0.8441,0,925
8,0.5588,-0.4923,0.847,1,652
9,0.5604,-0.4894,0.8466,2,883
10,0.5612,-0.5146,0.8351,0,933
11,0.5573,-0.508,0.827,1,653
12,0.5399,-0.5204,0.8384,2,875
13,0.5388,-0.521,0.8383,1,933
14,0.5501,-0.514,0.8319,1,879
15,0.5553,-0.5108,0.8287,2,881
16,0.5536,-0.4993,0.8364,0,928
17,0.555,-0.499,0.8382,1,653
18,0.5553,-0.4987,0.8377,2,881
19,0.5527,-0.487,0.8457,0,924
20,0.5565,-0.4923,0.8493,1,652
21,0.545,-0.4992,0.8562,2,877
22,0.5459,-0.5302,0.8402,0,936
23,0.5347,-0.5127,0.8227,1,656
24,0.5406,-0.5094,0.8182,2,880
25,0.5373,-0.4868,0.8299,0,926
26,0.543,-0.4946,0.8384,1,655
27,0.5589,-0.4845,0.8267,2,886
28,0.5566,-0.4899,0.8252,0,927
29,0.5602,-0.4968,0.8315,1,654
30,0.5522,-0.5017,0.8377,2,881
31,0.55,-0.4932,0.8426,0,926
32,0.5505,-0.4945,0.8449,1,653
33,0.5676,-0.4829,0.8342,2,887
34,0.5666,-0.496,0.8285,0,929
35,0.5699,-0.499,0.8314,1,652
36,0.5788,-0.4949,0.8249,2,889
37,0.5756,-0.4899,0.8284,0,927
38,0.5759,-0.4901,0.827,1,654
39,0.5655,-0.4952,0.8343,2,885
40,0.5634,-0.4991,0.8317,0,929
41,0.5655,-0.5012,0.8336,1,652
42,0.5634,-0.5045,0.8345,2,883
43,0.5615,-0.5176,0.8304,0,934
44,0.5633,-0.5189,0.8335,1,649
45,0.5848,-0.5071,0.8218,2,889
46,0.5833,-0.5051,0.8239,0,932
47,0.5797,-0.5013,0.818,1,653
48,0.5788,-0.5009,0.8188,2,889
49,0.5751,-0.4806,0.8283,0,925
50,0.5737,-0.4767,0.825,1,657
51,0.5492,-0.4926,0.8408,2,881
52,0.5477,-0.5054,0.8365,0,930
53,0.5422,-0.497,0.8273,1,657
54,0.5305,-0.5038,0.8338,2,876
55,0.53,-0.5268,0.8226,0,937
56,0.528,-0.5217,0.8182,1,656
57,0.5508,-0.509,0.8026,2,884
58,0.5486,-0.5048,0.8048,0,934
59,0.5588,-0.5191,0.8202,1,652
60,0.545,-0.5262,0.8291,2,877
61,0.5418,-0.5147,0.8366,0,932
62,0.5416,-0.5125,0.8337,1,653
63,0.5624,-0.5013,0.8222,2,885
64,0.5585,-0.4746,0.8361,0,922
65,0.5692,-0.4878,0.8492,1,651
66,0.5716,-0.4861,0.8495,2,885
67,0.574,-0.5146,0.8351,0,933
68,0.5647,-0.5013,0.8226,1,654
69,0.5706,-0.4981,0.819,2,887
70,0.5693,-0.4867,0.8252,0,927
71,0.5685,-0.4857,0.825,1,656
72,0.565,-0.4906,0.8297,2,886
73,0.5642,-0.5051,0.8239,0,932
74,0.5655,-0.5079,0.8269,1,652
75,0.5583,-0.5138,0.8317,2,881
76,0.5575,-0.5085,0.835,0,931
77,0.5505,-0.4992,0.825,1,656
78,0.5487,-0.5001,0.8271,2,882
79,0.5475,-0.4991,0.8285,0,929
80,0.5497,-0.5014,0.8294,1,655
81,0.5365,-0.5098,0.8368,2,876
82,0.5345,-0.5025,0.8427,0,928
83,0.5386,-0.5079,0.847,1,652
84,0.5471,-0.5019,0.841,2,879
85,0.5441,-0.5025,0.8427,0,928
86,0.5469,-0.5056,0.847,1,651
87,0.545,-0.5082,0.8472,2,877
88,0.5443,-0.5087,0.8476,0,929
89,0.5431,-0.5057,0.8448,1,652
90,0.5446,-0.5036,0.8426,2,878
91,0.5459,-0.5269,0.8305,0,936
92,0.5447,-0.5257,0.8291,1,651
93,0.5604,-0.5166,0.8194,2,883
94,0.5563,-0.49,0.8331,0,926
95,0.5655,-0.5033,0.8468,1,649
96,0.5695,-0.5015,0.8466,2,883
97,0.569,-0.4963,0.849,0,926
98,0.5715,-0.4988,0.8534,1,648
99,0.575,-0.4968,0.8511,2,884
100,0.5735,-0.5116,0.8446,0,931
101,0.5595,-0.4925,0.825,1,656
102,0.562,-0.4906,0.8236,2,886
103,0.5598,-0.4867,0.8252,0,927
104,0.5677,-0.4967,0.8359,1,652
105,0.5711,-0.4967,0.8358,2,886
106,0.5708,-0.5114,0.8287,0,933
107,0.5692,-0.5101,0.8269,1,651
108,0.5587,-0.5184,0.8333,2,880
109,0.5585,-0.5239,0.8321,0,935
110,0.5528,-0.5147,0.8225,1,653
111,0.5497,-0.5154,0.8243,2,880
112,0.5463,-0.4839,0.8393,0,924
113,0.5513,-0.4901,0.845,1,654
114,0.5497,-0.4913,0.8454,2,880
115,0.5516,-0.5146,0.8351,0,933
116,-3.0982,4.6768,-4.3473,1,3042
117,-2.1417,0.1771,0.1529,2,878
118,-1.6906,0.5709,0.538,0,931
119,-0.0775,-0.6767,1.3913,1,648
120,0.5114,-0.2209,1.0755,2,884
121,0.5322,-0.5563,0.923,0,932
122,0.4897,-0.4992,0.8677,1,656
123,0.5417,-0.4665,0.8359,2,884
124,0.5409,-0.4929,0.8236,0,928
125,0.549,-0.5036,0.8338,1,654
126,0.5624,-0.4952,0.8252,2,885
127,0.5595,-0.4868,0.8299,0,926
128,-3.0251,4.7498,-4.3264,1,3042
129,-2.1157,0.1855,0.1745,2,874
130,-1.6874,0.5645,0.5412,0,931
131,-0.085,-0.6709,1.3873,1,651
132,0.4849,-0.2284,1.0818,2,877
133,0.5029,-0.5533,0.9336,0,929
134,0.4732,-0.5123,0.8961,1,651
135,0.533,-0.4751,0.8592,2,877
136,0.5343,-0.5026,0.8474,0,927
137,0.5318,-0.4991,0.8429,1,655
138,0.5538,-0.4847,0.8299,2,884
139,0.555,-0.5112,0.8176,0,934
140,0.5648,-0.5255,0.8312,1,648
141,0.5566,-0.5307,0.8366,2,878
142,0.555,-0.524,0.84,0,934
143,0.5529,-0.519,0.8357,1,650
144,0.5634,-0.5136,0.8285,2,883
145,0.5598,-0.4962,0.8379,0,927
146,0.558,-0.4946,0.836,1,654
147,0.5497,-0.5003,0.8424,2,880
148,0.5486,-0.5208,0.8336,0,934
149,0.5461,-0.5147,0.8292,1,653
150,0.5395,-0.5188,0.8338,2,876
151,0.5386,-0.5147,0.8366,0,932
152,0.5433,-0.5211,0.8446,1,649
153,0.5532,-0.514,0.838,2,879
154,0.5518,-0.5208,0.8368,0,934
155,0.5537,-0.5233,0.8401,1,648
156,0.5643,-0.5168,0.8347,2,881
157,0.5615,-0.5176,0.8336,0,934
158,0.5573,-0.5102,0.8247,1,653
159,0.5425,-0.5218,0.8338,2,876
160,0.5398,-0.4871,0.8504,0,923
161,0.5484,-0.4989,0.8603,1,650
162,0.5583,-0.4926,0.8529,2,881
163,0.5568,-0.5025,0.8491,0,928
164,0.5558,-0.5012,0.847,1,651
165,0.5557,-0.5003,0.8484,2,880
166,0.555,-0.5208,0.84,0,934
167,0.5529,-0.5167,0.8357,1,650
168,0.5608,-0.5122,0.8301,2,882
169,0.5571,-0.5023,0.8348,0,929
170,0.5542,-0.4969,0.8294,1,655
171,0.562,-0.4906,0.8236,2,886
172,0.5619,-0.5141,0.8113,0,936
