X,Y,Z,ID,TOF
3.0316,3.2560,1.9875,1,1576
1.1733,1.2184,2.0960,2,1243
1.6157,0.6275,2.0126,0,628
1.6340,1.3517,1.9470,1,961
1.3457,1.0708,1.9753,2,1249
1.6481,0.6920,1.8921,0,624
1.6704,1.3387,1.8048,1,962
1.3628,1.0409,1.8467,2,1249
1.6245,0.7086,1.7436,0,625
1.6403,1.2955,1.6325,1,958
1.3445,1.0100,1.6900,2,1245
1.5563,0.7288,1.5722,0,623
1.5581,1.2527,1.4395,1,957
1.3012,1.0010,1.5034,2,1243
1.4799,0.7525,1.3642,0,628
1.4692,1.2001,1.2186,1,961
1.2520,0.9859,1.2910,2,1242
1.3678,0.8161,1.1687,0,624
1.3474,1.1310,1.0451,1,960
5.3783,5.1880,-0.5592,2,3042
2.0045,3.2830,1.3237,0,622
1.8276,1.2922,1.6785,1,958
1.4349,0.9335,1.7447,2,1247
1.6112,0.7068,1.6627,0,629
1.6245,1.3025,1.5313,1,966
1.3250,1.0076,1.6009,2,1244
1.5123,0.7561,1.4789,0,619
1.5089,1.2232,1.3453,1,956
1.2823,1.0034,1.4089,2,1244
1.4324,0.7929,1.2752,0,623
1.4199,1.1705,1.1406,1,960
1.2236,0.9746,1.2126,2,1239
1.3211,0.8238,1.0968,0,627
1.3016,1.0982,0.9839,1,959
1.1706,0.9642,1.0416,2,1240
1.2258,0.8710,0.9593,0,628
1.2069,1.0361,0.8848,1,957
1.1327,0.9603,0.9204,2,1242
1.1506,0.9301,0.8907,0,620
1.1383,1.0346,0.8417,1,964
1.0791,0.9703,0.8726,2,1239
1.1054,0.9203,0.8233,0,630
1.0958,0.9985,0.7870,1,963
1.0690,0.9692,0.8030,2,1244
1.0771,0.9528,0.7869,0,628
1.0741,0.9762,0.7751,1,960
1.0580,0.9580,0.7852,2,1241
1.0507,0.9705,0.7993,0,620
1.0511,0.9828,0.7949,1,960
1.0342,0.9676,0.8039,2,1236
1.0335,0.9664,0.8040,0,618
1.0319,0.9765,0.7997,1,959
1.0434,0.9906,0.7944,2,1244
1.0590,0.9592,0.7583,0,631
1.0630,0.9543,0.7616,1,956
1.0580,0.9495,0.7639,2,1241
1.0477,0.9681,0.7837,0,623
1.0478,0.9762,0.7817,1,960
1.0519,0.9778,0.7817,2,1244
1.0451,0.9898,0.7936,0,617
1.0473,0.9859,0.7967,1,961
1.0454,0.9840,0.7999,2,1243
1.0497,0.9747,0.7884,0,621
1.0521,0.9735,0.7913,1,958
5.0340,5.1776,-1.3313,2,3042
1.8615,3.2617,1.0911,0,622
1.7393,1.2792,1.5325,1,960
1.4020,0.9641,1.6058,2,1251
1.5527,0.7689,1.5150,0,619
1.5516,1.2495,1.3876,1,960
1.3018,1.0015,1.4552,2,1245
1.4529,0.7922,1.3303,0,619
1.4396,1.1903,1.1966,1,960
1.2604,1.0113,1.2582,2,1251
1.3825,0.8341,1.1255,0,629
1.3676,1.1115,1.0148,1,958
1.2140,0.9564,1.0803,2,1244
1.2627,0.8809,1.0163,0,621
1.2444,1.0844,0.9291,1,963
1.1435,0.9797,0.9747,2,1243
1.1769,0.9239,0.9205,0,619
1.1614,1.0479,0.8649,1,964
1.1053,0.9886,0.8958,2,1245
1.1285,0.9491,0.8545,0,621
1.1193,1.0153,0.8216,1,962
1.0795,0.9754,0.8425,2,1243
1.0892,0.9554,0.8223,0,622
1.0850,0.9866,0.8078,1,958
1.0688,0.9688,0.8181,2,1242
1.0710,0.9619,0.8118,0,621
1.0690,0.9803,0.8027,1,957
1.0691,0.9824,0.8049,2,1246
1.0686,0.9812,0.8038,0,619
1.0685,0.9833,0.8045,1,958
1.0580,0.9708,0.8107,2,1241
1.0709,0.9441,0.7823,0,630
1.0675,0.9729,0.7685,1,960
1.0582,0.9626,0.7743,2,1243
1.0541,0.9703,0.7837,0,623
1.0549,0.9732,0.7832,1,959
1.0761,0.9945,0.7710,2,1253
1.0683,1.0088,0.7873,0,617
1.0722,1.0016,0.7921,1,964
1.0694,1.0004,0.7960,2,1250
1.0767,0.9852,0.7792,0,624
1.0750,0.9947,0.7741,1,965
1.0694,0.9875,0.7788,2,1250
1.0726,0.9808,0.7702,0,626
1.0736,0.9793,0.7703,1,961
1.0604,0.9650,0.7774,2,1244
1.0539,0.9768,0.7884,0,621
1.0528,0.9886,0.7837,1,963
1.0388,0.9727,0.7907,2,1240
1.0436,0.9616,0.7790,0,625
1.0445,0.9729,0.7751,1,960
1.0366,0.9661,0.7791,2,1239
1.0349,0.9660,0.7794,0,623
1.0357,0.9669,0.7815,1,958
1.0300,0.9591,0.7869,2,1236
1.0273,0.9641,0.7929,0,620
1.0259,0.9883,0.7822,1,964
1.0371,1.0019,0.7781,2,1247
1.0400,0.9960,0.7695,0,620
1.0445,0.9762,0.7817,1,960
1.0542,0.9890,0.7781,2,1247
1.0551,0.9874,0.7754,0,622
1.0587,0.9702,0.7848,1,958
1.0538,0.9665,0.7895,2,1241
1.0541,0.9660,0.7880,0,623
1.0523,0.9883,0.7756,1,964
1.0542,0.9890,0.7781,2,1247
1.0539,0.9896,0.7778,0,621
1.0587,0.9735,0.7881,1,958
1.0626,0.9758,0.7890,2,1245
1.0650,0.9701,0.7811,0,625
1.0627,0.9853,0.7738,1,963
1.0386,0.9638,0.7888,2,1238
1.0369,0.9661,0.7905,0,621
1.0384,0.9732,0.7865,1,959
1.0410,0.9750,0.7852,2,1241
1.0469,0.9637,0.7723,0,626
1.0488,0.9636,0.7716,1,958
1.0628,0.9762,0.7653,2,1247
1.0584,0.9852,0.7730,0,623
1.0594,0.9853,0.7738,1,963
1.0541,0.9801,0.7762,2,1245
1.0483,0.9919,0.7870,0,618
1.0506,0.9859,0.7901,1,961
1.0386,0.9722,0.7973,2,1238
1.0400,0.9684,0.7929,0,620
1.0412,0.9795,0.7883,1,960
1.0542,0.9933,0.7824,2,1247
1.0619,0.9787,0.7659,0,626
1.0653,0.9669,0.7716,1,958
1.0649,0.9696,0.7707,2,1246
1.0547,0.9897,0.7913,0,618
1.0582,0.9798,0.7964,1,959
1.0650,0.9914,0.7940,2,1248
1.0691,0.9809,0.7837,0,623
1.0698,0.9856,0.7820,1,962
1.0538,0.9665,0.7937,2,1241
1.0553,0.9616,0.7878,0,624
1.0544,0.9762,0.7817,1,960
1.0562,0.9778,0.7817,2,1244
1.0516,0.9854,0.7889,0,619
1.0539,0.9859,0.7901,1,961
1.0563,0.9867,0.7878,2,1246
1.0605,0.9788,0.7794,0,623
1.0625,0.9672,0.7863,1,957
1.0558,0.9599,0.7907,2,1240
1.0587,0.9529,0.7828,0,627
0.0008,7.2644,-2.4275,1,3042
-1.0025,1.8347,0.3403,2,1248
-0.8663,1.8869,0.5361,0,626
-0.1032,0.6814,1.0777,1,963
0.3844,1.4794,0.7170,2,1248
0.3934,1.3077,0.4076,0,618
0.5716,0.8107,0.6896,1,962
0.8036,1.0904,0.5301,2,1250
0.7956,1.1118,0.5597,0,626
0.8550,0.8782,0.6895,1,958
0.9665,1.0004,0.6202,2,1250
