,ID,TOF
0,0,1266
1,1,554
2,2,1116
3,0,881
4,1,550
5,2,1121
6,0,882
7,1,559
8,2,1124
9,0,881
10,1,548
11,2,1119
12,0,883
13,1,547
14,2,1124
15,0,886
16,1,547
17,2,1125
18,0,884
19,1,549
20,2,1113
21,0,882
22,1,549
23,2,1119
24,0,880
25,1,552
26,2,1120
27,0,881
28,1,550
29,2,1111
30,0,879
31,1,553
32,2,1120
33,0,884
34,1,551
35,2,1120
36,0,884
37,1,551
38,2,1113
39,0,878
40,1,547
41,2,1121
42,0,883
43,1,553
44,2,1115
45,0,882
46,1,555
47,2,1115
48,0,882
49,1,554
50,2,1122
51,0,880
52,1,553
53,2,1120
54,0,881
55,1,554
56,2,1118
57,0,886
58,1,552
59,2,1121
60,0,885
61,1,554
62,2,1115
63,0,882
64,1,555
65,2,1122
66,0,876
67,1,548
68,2,1124
69,0,880
70,1,558
71,2,1118
72,0,886
73,1,553
74,2,1116
75,0,881
76,1,546
77,2,1125
78,0,885
79,1,553
80,2,1125
81,0,879
82,1,549
83,2,1116
84,0,881
85,1,544
86,2,1113
87,0,885
88,1,553
89,2,1117
90,0,886
91,1,548
92,2,1117
93,0,880
94,1,543
95,2,1114
96,0,885
97,1,548
98,2,1111
99,0,883
100,1,548
101,2,1118
102,0,877
103,1,551
104,2,1111
105,0,879
106,1,551
107,2,1120
108,0,882
109,1,548
110,2,1114
111,0,879
112,1,545
113,2,1120
114,0,885
115,1,555
116,2,1112
117,0,883
118,1,554
119,2,1120
120,0,888
121,1,554
122,2,1112
123,0,879
124,1,549
125,2,1114
126,0,878
127,1,545
128,2,1120
129,0,882
130,1,548
131,2,1112
132,0,883
133,1,548
134,2,1111
135,0,881
136,1,547
137,2,1121
138,0,879
139,1,553
140,2,1117
141,0,885
142,1,553
143,2,1117
144,0,879
145,1,552
146,2,1121
147,0,883
148,1,549
149,2,1125
150,0,883
151,1,549
152,2,1118
153,0,885
154,1,551
155,2,1116
156,0,881
157,1,549
158,2,1122
159,0,878
160,1,553
161,2,1115
162,0,877
163,1,552
164,2,1115
165,0,884
166,1,547
167,2,1123
168,0,875
169,1,546
170,2,1120
171,0,888
172,1,549
173,2,1119
174,0,882
175,1,552
176,2,1113
177,0,886
178,1,552
179,2,1121
180,0,880
181,1,548
182,2,1114
183,0,884
184,1,549
185,2,1120
186,0,883
187,1,552
188,2,1119
189,0,887
190,1,552
191,2,1125
192,0,880
193,1,553
194,2,1117
195,0,885
196,1,549
197,2,1123
198,0,878
199,1,550
200,2,1122
201,0,883
202,1,549
