i,ID,TOF
0,0,1640
1,1,860
2,2,788
3,0,831
4,1,866
5,2,800
6,0,832
7,1,862
8,2,803
9,0,832
10,1,863
11,2,800
12,0,829
13,1,870
14,2,796
15,0,830
16,1,869
17,2,791
18,2,835
19,0,831
20,1,3042
21,2,795
22,0,3042
23,1,867
24,2,797
25,0,832
26,1,865
27,1,2137
28,0,798
29,2,863
30,0,835
31,1,864
32,0,802
33,0,862
34,1,865
35,2,799
36,0,832
37,1,867
38,2,796
39,0,835
40,1,866
41,2,799
42,0,829
43,1,863
44,2,802
45,0,829
46,1,865
47,2,796
48,0,829
49,1,864
50,2,799
51,0,832
52,1,865
53,2,803
54,0,830
55,1,865
56,2,801
57,0,831
58,1,866
59,2,791
60,0,835
61,1,866
62,2,800
63,0,833
64,1,856
65,2,794
66,0,827
67,1,865
68,2,802
69,0,830
70,1,867
71,2,803
72,0,835
73,1,867
74,2,797
75,0,829
76,1,862
77,2,793
78,0,833
79,1,867
80,2,802
81,0,828
82,1,867
83,2,797
84,0,830
85,1,866
86,2,799
87,0,829
88,1,870
89,2,800
90,0,829
91,1,869
92,2,794
93,0,834
94,1,869
95,2,794
96,0,3042
97,1,859
98,2,796
99,0,833
100,1,863
101,2,802
102,0,833
103,1,859
104,2,793
105,0,829
106,1,859
107,2,792
108,0,831
109,1,867
110,2,806
111,0,830
112,1,869
113,2,2527
114,0,832
115,1,867
116,2,801
117,0,835
118,1,865
119,2,805
120,0,830
121,1,865
122,2,793
123,0,834
124,1,873
125,2,802
126,0,828
127,1,870
128,2,801
129,0,835
130,1,860
131,2,794
132,0,833
133,1,857
134,2,805
135,0,831
136,1,865
137,2,801
138,0,831
139,1,862
140,2,803
141,0,829
142,1,861
143,0,797
144,0,3042
145,1,873
146,2,800
147,0,2564
148,1,873
149,2,802
150,0,833
151,1,861
152,2,796
153,0,833
154,1,866
155,2,800
156,0,833
157,1,861
158,2,804
159,0,831
160,1,866
161,0,803
162,0,868
163,1,872
164,0,798
165,0,863
166,1,867
167,0,799
168,2,861
169,0,831
170,1,870
171,0,804
172,0,869
173,1,869
174,2,804
175,0,834
176,1,866
177,2,805
178,0,829
179,1,868
180,2,802
181,0,829
182,1,868
183,2,791
184,0,835
185,1,862
186,2,794
187,0,831
188,1,861
189,2,804
190,0,832
191,1,865
192,2,796
193,0,831
194,1,2571
195,2,798
196,0,828
197,1,870
198,2,801
199,0,830
200,1,862
201,2,806
202,0,834
