X,Y,Z,ID,TOF
0.5623,-1.0190,0.8324,2,823
0.5607,-1.0165,0.8337,0,1066
0.5455,-1.0038,0.8121,1,577
0.5399,-1.0072,0.8162,2,821
0.5411,-1.0506,0.7992,0,1078
0.5374,-1.0488,0.7949,1,576
0.5644,-1.0398,0.7776,2,830
0.5615,-1.0145,0.7916,0,1070
0.5668,-1.0188,0.7974,1,575
0.5510,-1.0275,0.8099,2,823
0.5518,-1.0443,0.8056,0,1076
0.5505,-1.0436,0.8024,1,573
0.5729,-1.0358,0.7872,2,831
0.5700,-1.0338,0.7885,0,1075
0.5602,-1.0248,0.7749,1,580
0.5479,-1.0299,0.7848,2,826
0.5483,-1.0364,0.7821,0,1077
0.5567,-1.0440,0.7940,1,574
0.5592,-1.0440,0.7933,2,826
0.5563,-1.0532,0.7891,0,1080
0.5532,-1.0508,0.7830,1,576
0.5537,-1.0508,0.7837,2,825
0.5515,-1.0338,0.7922,0,1075
0.5549,-1.0365,0.7954,1,575
0.5591,-1.0345,0.7915,2,827
0.5589,-1.0338,0.7922,0,1075
0.5555,-1.0315,0.7884,1,577
0.5454,-1.0360,0.7958,2,823
0.5430,-1.0187,0.8040,0,1069
0.5540,-1.0290,0.8192,1,571
0.5539,-1.0286,0.8201,2,822
0.5495,-1.0134,0.8277,0,1065
0.5520,-1.0153,0.8290,1,571
0.5594,-1.0123,0.8251,2,824
0.5574,-1.0192,0.8237,0,1068
0.5545,-1.0161,0.8182,1,573
0.5566,-1.0151,0.8166,2,824
0.5550,-1.0381,0.8083,0,1074
0.5455,-1.0295,0.7943,1,577
0.5480,-1.0281,0.7922,2,825
0.5467,-1.0150,0.8003,0,1069
0.5579,-1.0271,0.8173,1,571
0.5567,-1.0275,0.8183,2,823
0.5563,-1.0569,0.8076,0,1080
0.5592,-1.0591,0.8112,1,568
0.5486,-1.0638,0.8187,2,818
0.5447,-1.0580,0.8214,0,1078
