i,ID,TOF
0,1,175
1,2,642
2,0,1286
3,1,1078
4,2,639
5,0,1287
6,1,1073
7,2,636
8,0,1288
9,1,1082
10,2,643
11,0,1284
12,1,1073
13,2,647
14,0,1282
15,1,1074
16,2,638
17,0,1285
18,1,1074
19,2,637
20,0,1285
21,1,1073
22,2,637
23,0,1288
24,1,1070
25,2,632
26,0,1288
27,1,1067
28,2,647
29,0,1286
30,1,1080
31,2,636
32,0,1285
33,1,1077
34,2,640
35,0,1287
36,1,1073
37,2,639
38,0,1288
39,1,1078
40,2,636
41,0,1286
42,1,1084
43,2,632
44,0,1288
45,1,1076
46,2,637
47,0,1286
48,1,1076
49,2,643
50,0,1287
51,1,1075
52,2,632
53,0,1285
54,1,1074
55,2,643
56,0,1285
57,1,1076
58,2,639
59,0,1287
60,1,1073
61,2,638
62,0,1286
63,1,1077
64,2,634
65,0,1290
66,1,1079
67,2,641
68,0,1288
69,1,1075
70,2,640
71,0,1286
72,1,1083
73,2,636
74,0,1291
75,1,1079
76,2,642
77,0,1285
78,1,1070
79,2,635
80,0,1285
81,1,1079
82,2,630
83,0,1288
84,1,1089
85,2,631
86,0,1296
87,1,1082
88,2,630
89,0,1295
90,1,1080
91,2,636
92,0,1293
93,1,1084
94,2,632
95,0,1297
96,1,1094
97,2,628
98,0,1295
99,1,1090
100,2,632
101,0,1301
102,1,1087
103,2,633
104,0,1297
105,1,1088
106,2,624
107,0,1301
108,1,1086
109,2,632
110,0,1298
111,1,1090
112,2,628
113,0,1296
114,1,1089
115,2,636
116,0,1296
117,1,1087
118,2,629
119,0,1301
120,1,1088
121,2,629
122,0,1295
123,1,1089
124,2,635
125,0,1298
126,1,1085
127,2,627
128,0,1295
129,1,1093
130,2,629
131,0,1299
132,1,1086
133,2,633
134,0,1298
135,1,1088
136,2,632
137,0,1300
138,1,1081
139,2,625
140,0,1300
141,1,1091
142,2,633
143,0,1295
144,1,1089
145,2,633
146,0,1299
147,1,1094
148,2,625
149,0,1296
150,1,1086
151,2,632
152,0,1302
153,1,1085
154,2,627
155,0,1297
156,1,1090
157,2,629
158,0,1298
159,1,1084
160,2,634
161,0,1296
162,1,1085
163,2,629
164,0,1295
165,1,1083
166,2,625
167,0,1301
168,1,1087
169,2,627
170,0,1296
171,1,1085
172,2,635
173,0,1292
174,1,1083
175,2,630
176,0,1294
177,1,1092
178,2,626
179,0,1299
180,1,1088
181,2,636
182,0,1297
183,1,1085
184,2,630
185,0,1293
186,1,1083
187,2,634
188,0,1297
189,1,1089
190,2,631
191,0,1294
192,1,1088
193,2,631
194,0,1297
195,1,1088
196,2,622
197,0,1302
198,1,1093
199,2,630
200,0,1302
201,1,1087
202,2,628
