i,ID,TOF
0,1,1080
1,2,926
2,0,652
3,1,877
4,2,926
5,0,652
6,1,882
7,2,925
8,0,652
9,1,883
10,2,933
11,0,653
12,1,875
13,0,933
14,0,879
15,1,881
16,2,928
17,0,653
18,1,881
19,2,924
20,0,652
21,1,877
22,2,936
23,0,656
24,1,880
25,2,926
26,0,655
27,1,886
28,2,927
29,0,654
30,1,881
31,2,926
32,0,653
33,1,887
34,2,929
35,0,652
36,1,889
37,2,927
38,0,654
39,1,885
40,2,929
41,0,652
42,1,883
43,2,934
44,0,649
45,1,889
46,2,932
47,0,653
48,1,889
49,2,925
50,0,657
51,1,881
52,2,930
53,0,657
54,1,876
55,2,937
56,0,656
57,1,884
58,2,934
59,0,652
60,1,877
61,2,932
62,0,653
63,1,885
64,2,922
65,0,651
66,1,885
67,2,933
68,0,654
69,1,887
70,2,927
71,0,656
72,1,886
73,2,932
74,0,652
75,1,881
76,2,931
77,0,656
78,1,882
79,2,929
80,0,655
81,1,876
82,2,928
83,0,652
84,1,879
85,2,928
86,0,651
87,1,877
88,2,929
89,0,652
90,1,878
91,2,936
92,0,651
93,1,883
94,2,926
95,0,649
96,1,883
97,2,926
98,0,648
99,1,884
100,2,931
101,0,656
102,1,886
103,2,927
104,0,652
105,1,886
106,2,933
107,0,651
108,1,880
109,2,935
110,0,653
111,1,880
112,2,924
113,0,654
114,1,880
115,2,933
116,0,3042
117,1,878
118,2,931
119,0,648
120,1,884
121,2,932
122,0,656
123,1,884
124,2,928
125,0,654
126,1,885
127,2,926
128,0,3042
129,1,874
130,2,931
131,0,651
132,1,877
133,2,929
134,0,651
135,1,877
136,2,927
137,0,655
138,1,884
139,2,934
140,0,648
141,1,878
142,2,934
143,0,650
144,1,883
145,2,927
146,0,654
147,1,880
148,2,934
149,0,653
150,1,876
151,2,932
152,0,649
153,1,879
154,2,934
155,0,648
156,1,881
157,2,934
158,0,653
159,1,876
160,2,923
161,0,650
162,1,881
163,2,928
164,0,651
165,1,880
166,2,934
167,0,650
168,1,882
169,2,929
170,0,655
171,1,886
172,2,936
173,0,653
174,1,880
175,2,933
176,0,654
177,1,882
178,2,922
179,0,650
180,1,886
181,2,932
182,0,656
183,1,882
184,2,931
185,0,657
186,1,882
187,2,929
188,0,656
189,1,885
190,2,934
191,0,652
192,1,880
193,2,929
194,0,648
195,1,3042
196,2,928
197,0,646
198,1,3042
199,2,926
200,0,648
201,1,880
202,2,933
