i,ID,TOF
0,2,360
1,0,1167
2,1,972
3,2,692
4,0,1167
5,1,978
6,2,685
7,0,1174
8,1,979
9,2,696
10,0,1167
11,1,972
12,2,684
13,0,1172
14,1,970
15,2,690
16,0,1168
17,1,971
18,2,689
19,0,1167
20,1,974
21,2,688
22,0,1172
23,1,967
24,2,683
25,0,1165
26,1,966
27,2,685
28,0,1171
29,1,964
30,2,687
31,0,1169
32,1,973
33,2,691
34,0,1171
35,1,975
36,2,687
37,0,1166
38,1,976
39,2,690
40,0,1171
41,1,970
42,2,679
43,0,1172
44,1,969
45,2,692
46,0,1167
47,1,965
48,2,685
49,0,1167
50,1,970
51,2,689
52,0,1172
53,1,974
54,2,681
55,1,1167
56,2,694
57,1,1171
58,2,685
59,0,1171
60,1,973
61,2,686
62,1,1170
63,2,684
64,1,1170
65,2,684
66,1,1165
67,2,694
68,1,1176
69,2,683
70,0,1186
71,1,971
72,2,682
73,0,1187
74,1,976
75,2,691
76,0,1192
77,1,969
78,2,688
79,0,1185
80,1,973
81,2,683
82,0,1181
83,1,976
84,2,691
85,0,1187
86,1,972
87,2,693
88,0,1184
89,1,981
90,2,682
91,0,1187
92,1,974
93,2,687
94,0,1185
95,1,976
96,2,685
97,0,1186
98,1,968
99,2,695
100,0,1185
101,1,968
102,2,684
103,0,1188
104,1,975
105,2,690
106,1,1182
107,2,689
108,0,1188
109,1,970
110,2,686
111,0,1189
112,1,972
113,2,693
114,0,1185
115,1,972
116,2,695
117,0,1191
118,1,981
119,2,689
120,0,1188
121,1,972
122,2,695
123,0,1183
124,1,973
125,2,684
126,0,1189
127,1,973
128,2,692
129,0,1186
130,1,975
131,2,685
132,0,1184
133,1,974
134,2,695
135,0,1185
136,1,976
137,2,684
138,0,1189
139,1,978
140,2,689
141,0,1188
142,1,974
143,2,683
144,0,1186
145,1,970
146,2,696
147,0,1183
148,1,973
149,2,689
150,0,1182
151,1,974
152,2,686
153,0,1188
154,1,976
155,2,693
156,0,1181
157,1,979
158,2,685
159,0,1187
160,1,979
161,2,686
162,0,1189
163,1,982
164,2,692
165,0,1186
166,1,974
167,2,685
168,0,1186
169,1,981
170,2,690
171,0,1184
172,1,975
173,2,684
174,0,1187
175,1,966
176,2,694
177,0,1186
178,1,976
179,2,685
180,0,1178
181,1,979
182,2,692
183,0,1183
184,1,977
185,2,684
186,0,1189
187,1,965
188,2,690
189,0,1186
190,1,971
191,2,685
192,0,1186
193,1,981
194,2,698
195,0,1184
196,1,3042
197,2,688
198,0,1183
199,1,977
200,2,694
201,0,1183
202,1,974
