X,Y,Z,ID,TOF
2.0642,2.3506,2.2580,2,1661
2.2186,2.3513,2.2579,0,550
2.2537,2.5848,2.2561,1,1333
2.0483,2.3512,2.2580,2,1659
2.2323,2.3514,2.2579,0,554
2.2658,2.5746,2.2561,1,1330
2.0347,2.3115,2.2580,2,1648
2.2563,2.3092,2.2579,0,561
2.3005,2.5869,2.2562,1,1335
2.0619,2.3181,2.2580,2,1655
2.2563,2.3169,2.2579,0,561
2.3017,2.5937,2.2562,1,1337
2.0438,2.3033,2.2580,2,1647
2.2392,2.3000,2.2579,0,556
2.2824,2.5599,2.2561,1,1327
2.0699,2.3207,2.2580,2,1656
2.2460,2.3190,2.2579,0,558
2.2824,2.5599,2.2561,1,1327
2.0813,2.3335,2.2580,2,1661
2.2152,2.3344,2.2579,0,549
2.2521,2.5746,2.2561,1,1330
2.0946,2.3918,2.2580,2,1677
2.2426,2.3954,2.2579,0,557
2.2698,2.5712,2.2561,1,1329
2.0948,2.3732,2.2580,2,1672
2.2529,2.3746,2.2579,0,560
2.2824,2.5599,2.2561,1,1327
2.0699,2.3207,2.2580,2,1656
2.2255,2.3192,2.2579,0,552
2.2647,2.5678,2.2561,1,1328
2.0653,2.3398,2.2580,2,1659
2.2445,2.3400,2.2579,0,557
2.2778,2.5599,2.2561,1,1327
2.0483,2.3027,2.2580,2,1649
2.2357,2.3000,2.2579,0,555
2.2784,2.5633,2.2561,1,1328
2.0506,2.3053,2.2580,2,1650
2.2323,2.3020,2.2579,0,554
2.2749,2.5746,2.2561,1,1330
2.5097,2.8440,2.2580,2,1855
2.1948,2.7699,2.2560,0,557
2.1709,2.5951,2.2516,1,1332
