X,Y,Z,ID,TOF
0.2037,4.5346,3.7509,1,1975
-0.6886,1.5008,3.0492,2,1068
-1.0125,1.2335,3.3015,0,593
-0.6176,0.7468,3.1398,1,1037
-0.3760,1.3480,3.3377,2,1078
-0.5553,1.0971,3.6114,0,596
-0.3562,0.8135,3.4824,1,1038
-0.1939,1.1463,3.6309,2,1076
-0.2333,1.0563,3.7356,0,595
-0.1332,0.8892,3.6503,1,1041
-0.0536,1.0319,3.7195,2,1076
-0.0592,1.0096,3.7453,0,594
-3.0147,6.4297,6.5041,1,3042
-2.2066,1.3120,3.9037,2,1071
-1.2728,1.6904,3.2982,0,590
-0.5882,0.8152,3.0425,1,1040
-0.3723,1.3573,3.1967,2,1069
-0.6095,1.0252,3.5133,0,598
-0.4307,0.7833,3.4090,1,1036
-0.2378,1.1993,3.5866,2,1079
-0.3040,1.0682,3.7398,0,600
-0.1664,0.8463,3.6288,1,1033
-0.0656,1.0273,3.7191,2,1073
-0.0728,1.0030,3.7463,0,596
-0.0236,0.9140,3.6982,1,1037
0.0197,0.9894,3.7370,2,1078
0.0218,0.9920,3.7338,0,591
0.0461,0.9487,3.7103,1,1038
0.0603,0.9746,3.7222,2,1078
0.0590,0.9647,3.7331,0,594
0.0632,0.9606,3.7288,1,1041
0.0428,0.9322,3.7119,2,1065
0.0481,0.9548,3.6875,0,587
0.0504,0.9511,3.6848,1,1035
0.0465,0.9469,3.6827,2,1065
0.0413,0.9156,3.7155,0,601
0.0377,0.9235,3.7188,1,1034
0.0554,0.9554,3.7366,2,1075
0.0569,0.9627,3.7290,0,594
0.0625,0.9551,3.7224,1,1039
0.0677,0.9672,3.7259,2,1078
0.0671,0.9627,3.7311,0,594
0.0710,0.9523,3.7245,1,1038
0.0751,0.9598,3.7296,2,1078
0.0731,0.9470,3.7415,0,599
0.0817,0.9314,3.7316,1,1033
3.3437,6.1897,6.4316,2,3042
1.2779,3.5461,3.5649,0,588
1.3773,1.5357,3.0782,1,1040
0.7095,0.7833,2.8990,2,1074
0.7813,0.4806,3.0229,0,601
0.5186,1.3186,3.2912,1,1039
0.3042,1.0007,3.1902,2,1070
0.2974,0.6721,3.4194,0,593
0.1250,1.0363,3.5818,1,1035
0.1037,1.0016,3.5645,2,1073
0.0846,0.8906,3.6727,0,596
0.0532,0.9523,3.7032,1,1038
0.0595,0.9611,3.7081,2,1073
0.0613,0.9622,3.7065,0,589
0.0596,0.9678,3.7074,1,1041
0.0608,0.9729,3.7084,2,1076
0.0603,0.9636,3.7176,0,591
0.0682,0.9475,3.7096,1,1035
0.0739,0.9554,3.7145,2,1075
0.0693,0.9294,3.7431,0,603
0.0639,0.9381,3.7459,1,1038
0.0599,0.9337,3.7421,2,1071
0.0664,0.9595,3.7135,0,591
0.0760,0.9427,3.7018,1,1032
0.0647,0.9286,3.6936,2,1065
0.0655,0.9284,3.6940,0,593
0.0489,0.9606,3.7109,1,1041
0.0469,0.9621,3.7104,2,1072
0.0496,0.9686,3.7041,0,588
0.0568,0.9594,3.6996,1,1038
0.0448,0.9405,3.6886,2,1064
0.0432,0.9250,3.7037,0,597
0.0325,0.9472,3.7131,1,1040
0.0395,0.9621,3.7178,2,1072
0.0356,0.9447,3.7357,0,600
0.0498,0.9207,3.7210,1,1033
0.0649,0.9491,3.7352,2,1074
0.0689,0.9659,3.7171,0,590
0.0703,0.9678,3.7181,1,1041
0.0649,0.9601,3.7131,2,1074
0.0655,0.9549,3.7184,0,593
0.0646,0.9614,3.7202,1,1040
0.0645,0.9618,3.7195,2,1076
0.0651,0.9566,3.7250,0,594
0.0703,0.9468,3.7181,1,1036
0.0722,0.9491,3.7205,2,1074
0.0728,0.9482,3.7234,0,595
0.0696,0.9551,3.7260,1,1039
0.0735,0.9608,3.7283,2,1077
0.0745,0.9656,3.7216,0,591
0.0852,0.9455,3.7103,1,1033
0.0870,0.9454,3.7094,2,1074
0.0867,0.9356,3.7197,0,596
0.0810,0.9503,3.7252,1,1036
3.3228,6.2210,6.4003,2,3042
1.2718,3.5582,3.5569,0,588
1.3734,1.5424,3.0726,1,1042
0.7103,0.7920,2.8965,2,1076
0.7787,0.5105,3.0134,0,592
0.5242,1.3194,3.2678,1,1037
0.3079,1.0044,3.1682,2,1070
0.3013,0.6563,3.4050,0,595
0.1165,1.0391,3.5760,1,1036
0.1064,1.0217,3.5681,2,1079
0.0891,0.9173,3.6726,0,590
0.0717,0.9582,3.6919,1,1035
0.0755,0.9692,3.6974,2,1076
0.0754,0.9602,3.7065,0,589
0.0817,0.9491,3.6997,1,1033
0.0733,0.9366,3.6940,2,1068
0.0723,0.9254,3.7054,0,596
0.0704,0.9329,3.7075,1,1031
0.0664,0.9276,3.7023,2,1066
0.0649,0.9182,3.7127,0,599
0.0489,0.9499,3.7288,1,1041
0.0489,0.9484,3.7274,2,1071
0.0532,0.9662,3.7086,0,589
0.0618,0.9531,3.7018,1,1037
0.0599,0.9520,3.7017,2,1071
0.0571,0.9329,3.7205,0,598
0.0604,0.9278,3.7174,1,1033
0.0656,0.9383,3.7224,2,1070
0.0684,0.9514,3.7074,0,591
0.0646,0.9650,3.7131,1,1040
0.0465,0.9359,3.6973,2,1065
0.0477,0.9389,3.6957,0,592
0.0498,0.9349,3.6926,1,1033
0.0517,0.9386,3.6950,2,1066
0.0484,0.9223,3.7127,0,599
0.0433,0.9298,3.7167,1,1035
0.0444,0.9349,3.7169,2,1066
0.0463,0.9400,3.7111,0,595
0.0490,0.9397,3.7110,1,1036
0.0677,0.9672,3.7259,2,1078
0.0649,0.9511,3.7435,0,599
0.0717,0.9369,3.7345,1,1035
0.0772,0.9497,3.7393,2,1077
0.0780,0.9517,3.7365,0,597
0.0796,0.9495,3.7338,1,1037
0.0743,0.9390,3.7302,2,1073
0.0764,0.9438,3.7258,0,596
0.0689,0.9634,3.7338,1,1042
0.0694,0.9661,3.7347,2,1079
0.0718,0.9807,3.7202,0,588
0.0845,0.9574,3.7075,1,1036
0.0879,0.9661,3.7125,2,1079
0.0838,0.9432,3.7369,0,598
0.0817,0.9487,3.7388,1,1038
0.0710,0.9337,3.7311,2,1071
0.0723,0.9417,3.7217,0,596
0.0604,0.9662,3.7317,1,1043
0.0489,0.9484,3.7237,2,1071
0.0537,0.9665,3.7041,0,588
0.0511,0.9706,3.7052,1,1042
0.0550,0.9793,3.7098,2,1077
0.0495,0.9465,3.7464,0,601
0.0568,0.9381,3.7388,1,1038
0.0694,0.9588,3.7495,2,1079
0.0698,0.9619,3.7467,0,597
0.0767,0.9515,3.7402,1,1039
0.0805,0.9550,3.7421,2,1079
0.0859,0.9766,3.7182,0,588
0.0938,0.9673,3.7124,1,1037
0.0916,0.9661,3.7088,2,1079
0.0866,0.9341,3.7423,0,601
0.0888,0.9314,3.7422,1,1033
0.0936,0.9413,3.7444,2,1078
0.0957,0.9429,3.7415,0,599
0.0952,0.9468,3.7430,1,1036
0.0820,0.9263,3.7311,2,1071
0.0863,0.9470,3.7099,0,592
0.0767,0.9658,3.7188,1,1039
0.0669,0.9537,3.7118,2,1073
0.0667,0.9461,3.7193,0,595
0.0596,0.9606,3.7252,1,1041
0.0542,0.9510,3.7214,2,1072
0.0530,0.9432,3.7287,0,598
0.0547,0.9389,3.7267,1,1037
0.0579,0.9437,3.7288,2,1072
0.0596,0.9455,3.7283,0,597
0.0575,0.9507,3.7310,1,1040
0.0542,0.9474,3.7288,2,1072
0.0588,0.9639,3.7110,0,590
0.0668,0.9503,3.7039,1,1036
0.0722,0.9564,3.7057,2,1074
-1.0120,-4.7969,9.7372,0,3042
0.4725,-3.1315,5.3938,1,1032
