X,Y,Z,ID,TOF
1.1548,-1.4736,3.3262,0,360
0.2801,-0.4550,5.7455,1,1167
-0.1557,-0.7811,4.9785,2,972
0.0563,0.5646,3.8036,0,692
-0.2603,1.0981,4.1363,1,1167
-0.4448,0.7154,3.8984,2,978
-0.4155,0.7752,3.8372,0,685
-0.5892,1.0116,3.9745,1,1174
-0.6584,0.8289,3.8665,2,979
-0.6424,0.8503,3.8435,0,696
-0.7086,0.9380,3.8921,1,1167
-0.7425,0.8458,3.8383,2,972
-0.7053,0.8971,3.7833,0,684
-0.7584,0.9624,3.8188,1,1172
-0.7844,0.8867,3.7752,2,970
-0.7760,0.8963,3.7636,0,690
-0.8026,0.9284,3.7814,1,1168
-0.8101,0.9029,3.7667,2,971
-0.8027,0.9126,3.7567,0,689
-0.8127,0.9260,3.7641,1,1167
-0.8140,0.9217,3.7614,2,974
-0.8105,0.9265,3.7569,0,688
-0.8227,0.9423,3.7625,1,1172
-0.8336,0.9079,3.7439,2,967
-0.8186,0.9274,3.7249,0,683
-0.8206,0.9291,3.7255,1,1165
-0.8279,0.9149,3.7159,2,966
-0.8267,0.9162,3.7151,0,685
-0.8448,0.9358,3.7251,1,1171
-0.8528,0.9156,3.7129,2,964
-0.8513,0.9167,3.7099,0,687
-0.8568,0.9229,3.7145,1,1169
-0.8517,0.9455,3.7265,2,973
-0.8605,0.9345,3.7397,0,691
-0.8529,0.9277,3.7331,1,1171
-0.8499,0.9447,3.7395,2,975
-0.8489,0.9450,3.7382,0,687
-0.8306,0.9236,3.7268,1,1166
-0.8256,0.9443,3.7377,2,976
-0.8351,0.9318,3.7518,0,690
-0.8368,0.9318,3.7492,1,1171
-0.8409,0.9200,3.7419,2,970
-0.8212,0.9449,3.7163,0,679
-0.8308,0.9543,3.7223,1,1172
-0.8385,0.9337,3.7104,2,969
-0.8552,0.9135,3.7300,0,692
-0.8527,0.9100,3.7280,1,1167
-0.8520,0.9119,3.7276,2,965
-0.8408,0.9256,3.7151,0,685
-0.8407,0.9260,3.7160,1,1167
-0.8409,0.9333,3.7186,2,970
-0.8500,0.9244,3.7283,0,689
-0.8549,0.9302,3.7304,1,1172
-0.8508,0.9451,3.7380,2,974
-0.8409,0.9572,3.7252,0,681
-0.8247,0.9380,3.7160,2,1167
-0.8467,0.9094,3.7438,0,694
-0.8529,0.9197,3.7492,2,1171
-0.8384,0.9373,3.7292,0,685
-0.8408,0.9398,3.7291,1,1171
-0.8416,0.9421,3.7298,2,973
-0.8425,0.9400,3.7313,0,686
-0.8388,0.9373,3.7278,2,1170
-0.8367,0.9394,3.7270,0,684
-0.8348,0.9373,3.7278,2,1170
-0.8344,0.9370,3.7270,0,684
-0.8246,0.9251,3.7215,2,1165
-0.8419,0.9046,3.7438,0,694
-0.8631,0.9319,3.7556,2,1176
-0.8420,0.9555,3.7319,0,683
-0.8632,0.9847,3.7440,1,1186
-0.8767,0.9462,3.7234,2,971
-0.8660,0.9598,3.7110,0,682
-0.8856,0.9831,3.7209,1,1187
-0.8892,0.9744,3.7142,2,976
-0.9032,0.9606,3.7302,0,691
-0.9163,0.9749,3.7352,1,1192
-0.9249,0.9503,3.7237,2,969
-0.9120,0.9642,3.7097,0,688
-0.9100,0.9619,3.7062,1,1185
-0.9084,0.9689,3.7098,2,973
-0.9006,0.9766,3.7014,0,683
-0.8895,0.9643,3.6931,1,1181
-0.8859,0.9811,3.7009,2,976
-0.9056,0.9582,3.7255,0,691
-0.9060,0.9627,3.7249,1,1187
-0.9092,0.9592,3.7216,2,972
-0.9139,0.9542,3.7274,0,693
-0.9079,0.9473,3.7212,1,1184
