X,Y,Z,ID,TOF
-1.1648,2.1021,-1.7328,2,1833
-0.2114,2.2546,0.8048,0,453
-0.0088,1.7792,0.9719,1,1231
0.1669,2.1610,0.8384,2,1375
0.1522,2.1456,0.7120,0,457
0.2635,1.8280,0.8348,1,1229
0.3802,2.0538,0.7506,2,1382
0.3811,2.0478,0.7149,0,458
0.4336,1.8752,0.7849,1,1232
0.4861,1.9733,0.7466,2,1377
0.4837,1.9788,0.7634,0,450
0.5038,1.9067,0.7910,1,1234
0.5252,1.9450,0.7803,2,1372
0.5271,1.9414,0.7642,0,454
0.5336,1.9223,0.7723,1,1239
0.5475,1.9449,0.7655,2,1377
0.5492,1.9426,0.7526,0,458
0.5564,1.9203,0.7620,1,1237
0.5600,1.9327,0.7572,2,1376
0.5552,1.9393,0.7802,0,451
0.5622,1.9226,0.7898,1,1235
0.5694,1.9374,0.7855,2,1376
0.5702,1.9360,0.7752,0,453
0.5750,1.9226,0.7813,1,1235
0.5805,1.9308,0.7797,2,1377
0.5817,1.9277,0.7653,0,457
0.5811,1.9319,0.7650,1,1238
0.5789,1.9280,0.7666,2,1376
0.5743,1.9350,0.7914,0,449
0.5776,1.9330,0.7917,1,1237
0.5822,1.9383,0.7881,2,1378
0.5842,1.9333,0.7686,0,456
0.5908,1.9101,0.7776,1,1231
0.5881,1.9102,0.7793,2,1373
0.5907,1.9042,0.7553,0,462
0.5853,1.9234,0.7480,1,1238
0.5772,1.9157,0.7535,2,1375
0.5723,1.9227,0.7767,0,454
0.5726,1.9319,0.7735,1,1238
0.5612,1.9187,0.7814,2,1371
0.5594,1.9217,0.7881,0,450
0.5654,1.9101,0.7945,1,1231
0.5756,1.9271,0.7876,2,1374
0.5823,1.9151,0.7441,0,464
0.5873,1.8943,0.7535,1,1230
0.5930,1.9091,0.7477,2,1376
0.5901,1.9115,0.7570,0,461
0.5911,1.9214,0.7547,1,1236
0.5867,1.9157,0.7582,2,1375
0.5854,1.9174,0.7652,0,458
0.5877,1.9183,0.7644,1,1235
0.5999,1.9381,0.7590,2,1383
0.5983,1.9412,0.7686,0,456
0.6008,1.9424,0.7711,1,1240
0.5800,1.9093,0.7861,2,1371
0.5838,1.9020,0.7586,0,461
0.5811,1.9234,0.7523,1,1238
0.5789,1.9185,0.7572,2,1376
0.5785,1.9187,0.7571,0,460
0.5800,1.9110,0.7614,1,1234
0.5737,1.9018,0.7684,2,1370
0.5697,1.9074,0.7878,0,452
0.5665,1.9226,0.7856,1,1235
0.5709,1.9271,0.7829,2,1374
0.5723,1.9230,0.7653,0,457
0.5718,1.9308,0.7638,1,1239
0.5760,1.9392,0.7623,2,1380
0.5754,1.9387,0.7606,0,457
0.5834,1.9183,0.7686,1,1235
0.5886,1.9316,0.7633,2,1379
0.5857,1.9360,0.7783,0,453
0.5877,1.9268,0.7813,1,1235
0.5850,1.9224,0.7829,2,1374
0.5869,1.9174,0.7652,0,458
0.5877,1.9183,0.7644,1,1235
0.5833,1.9102,0.7698,2,1373
0.5816,1.9133,0.7798,0,454
0.5815,1.9132,0.7807,1,1232
0.5867,1.9205,0.7771,2,1375
0.5901,1.9146,0.7554,0,461
0.5911,1.9214,0.7547,1,1236
0.5817,1.9073,0.7615,2,1372
0.5796,1.9114,0.7733,0,456
0.5815,1.9090,0.7764,1,1232
0.5916,1.9288,0.7691,2,1378
0.5894,1.9320,0.7767,0,454
0.5934,1.9206,0.7837,1,1233
0.5947,1.9260,0.7844,2,1377
0.5979,1.9221,0.7667,0,458
0.6004,1.9226,0.7686,1,1235
0.5978,1.9185,0.7713,2,1376
0.5945,1.9230,0.7863,0,452
0.5977,1.9248,0.7879,1,1233
0.6011,1.9288,0.7881,2,1378
0.6048,1.9228,0.7635,0,459
0.6069,1.9132,0.7680,1,1232
0.6092,1.9203,0.7670,2,1380
0.6101,1.9187,0.7618,0,460
0.6058,1.9350,0.7553,1,1239
0.5897,1.9082,0.7688,2,1374
0.5868,1.9108,0.7781,0,455
0.5819,1.9288,0.7705,1,1237
0.5756,1.9224,0.7735,2,1374
0.5770,1.9187,0.7571,0,460
0.5792,1.9141,0.7602,1,1235
0.5819,1.9157,0.7582,2,1375
0.5806,1.9174,0.7636,0,458
0.5889,1.8965,0.7728,1,1228
0.5994,1.9166,0.7655,2,1377
0.5956,1.9211,0.7798,0,454
0.6007,1.9081,0.7842,1,1229
0.5991,1.9082,0.7829,2,1374
0.5987,1.9087,0.7844,0,454
0.5977,1.9206,0.7795,1,1233
0.6011,1.9241,0.7786,2,1378
0.6032,1.9212,0.7635,0,459
0.6008,1.9381,0.7584,1,1240
0.5983,1.9353,0.7601,2,1382
0.5956,1.9398,0.7751,0,454
0.6011,1.9237,0.7825,1,1234
0.5844,1.8962,0.7940,2,1368
0.5858,1.8927,0.7795,0,456
0.5808,1.9121,0.7710,1,1233
0.5836,1.9232,0.7666,2,1376
0.5838,1.9221,0.7636,0,458
0.5892,1.9121,0.7668,1,1233
0.5914,1.9157,0.7677,2,1375
0.5905,1.9177,0.7733,0,456
0.5903,1.9288,0.7705,1,1237
0.5836,1.9232,0.7760,2,1376
0.5821,1.9261,0.7832,0,452
0.5850,1.9206,0.7879,1,1233
0.5867,1.9252,0.7865,2,1375
0.5912,1.9171,0.7587,0,460
0.5903,1.9246,0.7577,1,1237
0.5803,1.9129,0.7640,2,1374
0.5769,1.9180,0.7782,0,454
0.5800,1.9194,0.7783,1,1234
0.5803,1.9224,0.7782,2,1374
0.5784,1.9254,0.7864,0,451
0.5800,1.9237,0.7868,1,1234
0.5770,1.9168,0.7897,2,1372
0.5817,1.9093,0.7602,0,460
0.5826,1.9172,0.7590,1,1236
0.5836,1.9185,0.7619,2,1376
0.5784,1.9254,0.7864,0,451
0.5815,1.9174,0.7891,1,1232
