,ID,TOF
0,1,1833
1,2,453
2,0,1231
3,1,1375
4,2,457
5,0,1229
6,1,1382
7,2,458
8,0,1232
9,1,1377
10,2,450
11,0,1234
12,1,1372
13,2,454
14,0,1239
15,1,1377
16,2,458
17,0,1237
18,1,1376
19,2,451
20,0,1235
21,1,1376
22,2,453
23,0,1235
24,1,1377
25,2,457
26,0,1238
27,1,1376
28,2,449
29,0,1237
30,1,1378
31,2,456
32,0,1231
33,1,1373
34,2,462
35,0,1238
36,1,1375
37,2,454
38,0,1238
39,1,1371
40,2,450
41,0,1231
42,1,1374
43,2,464
44,0,1230
45,1,1376
46,2,461
47,0,1236
48,1,1375
49,2,458
50,0,1235
51,1,1383
52,2,456
53,0,1240
54,1,1371
55,2,461
56,0,1238
57,1,1376
58,2,460
59,0,1234
60,1,1370
61,2,452
62,0,1235
63,1,1374
64,2,457
65,0,1239
66,1,1380
67,2,457
68,0,1235
69,1,1379
70,2,453
71,0,1235
72,1,1374
73,2,458
74,0,1235
75,1,1373
76,2,454
77,0,1232
78,1,1375
79,2,461
80,0,1236
81,1,1372
82,2,456
83,0,1232
84,1,1378
85,2,454
86,0,1233
87,1,1377
88,2,458
89,0,1235
90,1,1376
91,2,452
92,0,1233
93,1,1378
94,2,459
95,0,1232
96,1,1380
97,2,460
98,0,1239
99,1,1374
100,2,455
101,0,1237
102,1,1374
103,2,460
104,0,1235
105,1,1375
106,2,458
107,0,1228
108,1,1377
109,2,454
110,0,1229
111,1,1374
112,2,454
113,0,1233
114,1,1378
115,2,459
116,0,1240
117,1,1382
118,2,454
119,0,1234
120,1,1368
121,2,456
122,0,1233
123,1,1376
124,2,458
125,0,1233
126,1,1375
127,2,456
128,0,1237
129,1,1376
130,2,452
131,0,1233
132,1,1375
133,2,460
134,0,1237
135,1,1374
136,2,454
137,0,1234
138,1,1374
139,2,451
140,0,1234
141,1,1372
142,2,460
143,0,1236
144,1,1376
145,2,451
146,0,1232
147,1,1376
148,2,462
149,0,1232
150,1,1371
151,2,451
152,0,1238
153,1,1371
154,2,461
155,0,1236
156,1,1376
157,2,459
158,0,1233
159,1,1377
160,2,453
161,0,1228
162,1,1377
163,2,461
164,0,1233
165,1,1381
166,2,463
167,0,1240
168,1,1380
169,2,453
170,0,1237
171,1,1376
172,2,463
173,0,1233
174,1,1373
175,2,460
176,0,1237
177,1,1374
178,2,458
179,0,1237
180,1,1379
181,2,453
182,0,1232
183,1,1380
184,2,458
185,0,1230
186,1,1374
187,2,462
188,0,1236
189,1,1376
190,2,460
191,0,1234
192,1,1377
193,2,445
194,0,1237
195,1,1380
196,2,457
197,0,1232
198,1,1376
199,2,457
200,0,1237
201,1,1380
202,2,456
