X,Y,Z,ID,TOF
-1.7007,2.6003,2.9670,1,1640
-1.6989,0.9835,2.7123,2,860
-1.8742,0.8670,2.7506,0,788
-0.6469,-0.1380,2.5691,1,831
-0.2108,0.6057,2.6976,2,866
-0.4645,-0.2037,2.9036,0,800
-0.5554,-0.1244,2.9319,1,832
-0.1911,0.4521,3.1480,2,862
-0.3353,-0.0728,3.3963,0,803
-0.3157,-0.0902,3.3828,1,832
-0.1005,0.1973,3.5575,2,863
-0.1325,0.0296,3.6582,0,800
-0.0758,-0.0342,3.6119,1,829
0.0079,0.0624,3.6814,2,870
0.0064,0.0438,3.6921,0,796
0.0305,0.0136,3.6705,1,830
0.0417,0.0273,3.6798,2,869
0.0437,0.0447,3.6695,0,791
0.0414,0.0482,3.6704,0,835
0.0486,0.0387,3.6636,1,831
4.4079,4.9480,7.1724,2,3042
1.9428,3.3707,4.1975,0,795
2.2754,7.8383,5.8363,1,3042
-0.6373,0.6800,3.2126,2,867
-0.9016,0.2296,3.4725,0,797
-0.4583,-0.1615,3.2487,1,832
-0.1502,0.2794,3.4952,2,865
1.0000,1.0000,1.0000,2,2137
1.2646,0.4651,0.4988,1,798
0.3909,-0.2407,1.0177,0,863
0.1617,0.0969,0.7720,1,835
0.0643,-0.0076,0.8503,2,864
0.0644,-0.0065,0.8503,1,802
0.0602,-0.0121,0.8536,1,862
0.0664,-0.0054,0.8487,2,865
0.0682,0.0023,0.8528,0,799
0.0411,0.0354,0.8287,1,832
0.0318,0.0258,0.8365,2,867
0.0337,0.0275,0.8390,0,796
0.0242,0.0396,0.8293,1,835
0.0179,0.0325,0.8352,2,866
0.0188,0.0242,0.8309,0,799
0.0266,0.0169,0.8366,1,829
0.0238,0.0138,0.8401,2,863
0.0232,0.0073,0.8366,0,802
0.0209,0.0112,0.8338,1,829
0.0248,0.0183,0.8309,2,865
0.0282,0.0302,0.8390,0,796
0.0323,0.0255,0.8423,1,829
0.0288,0.0220,0.8444,2,864
0.0298,0.0160,0.8419,0,799
0.0211,0.0268,0.8344,1,832
0.0189,0.0272,0.8368,2,865
0.0173,0.0099,0.8265,0,803
0.0191,0.0079,0.8293,1,830
0.0248,0.0153,0.8250,2,865
0.0263,0.0157,0.8273,0,801
0.0258,0.0159,0.8275,1,831
0.0268,0.0176,0.8263,2,866
0.0329,0.0447,0.8452,0,791
0.0299,0.0511,0.8408,1,835
0.0209,0.0414,0.8500,2,866
0.0184,0.0158,0.8346,0,800
0.0136,0.0206,0.8298,1,833
-0.0019,0.0039,0.8428,2,856
0.0018,0.0278,0.8589,0,794
0.0104,0.0151,0.8684,1,827
0.0278,0.0331,0.8546,2,865
0.0259,0.0045,0.8393,0,802
0.0191,0.0136,0.8349,1,830
0.0288,0.0228,0.8276,2,867
0.0283,0.0126,0.8210,0,803
0.0213,0.0224,0.8121,1,835
0.0199,0.0198,0.8127,2,867
0.0224,0.0355,0.8235,0,797
0.0351,0.0198,0.8338,1,829
0.0248,0.0086,0.8418,2,862
0.0294,0.0307,0.8552,0,793
0.0221,0.0406,0.8498,1,833
0.0229,0.0436,0.8484,2,867
0.0204,0.0128,0.8283,0,802
0.0256,0.0061,0.8327,1,828
0.0348,0.0169,0.8246,2,867
0.0360,0.0273,0.8317,0,797
0.0362,0.0250,0.8321,1,830
0.0328,0.0206,0.8352,2,866
0.0325,0.0187,0.8336,0,799
0.0323,0.0198,0.8338,1,829
0.0407,0.0296,0.8286,2,870
0.0404,0.0213,0.8236,0,800
