i,ID,TOF
0,0,1975
1,1,1068
2,2,593
3,0,1037
4,1,1078
5,2,596
6,0,1038
7,1,1076
8,2,595
9,0,1041
10,1,1076
11,2,594
12,0,3042
13,1,1071
14,2,590
15,0,1040
16,1,1069
17,2,598
18,0,1036
19,1,1079
20,2,600
21,0,1033
22,1,1073
23,2,596
24,0,1037
25,1,1078
26,2,591
27,0,1038
28,1,1078
29,2,594
30,0,1041
31,1,1065
32,2,587
33,0,1035
34,1,1065
35,2,601
36,0,1034
37,1,1075
38,2,594
39,0,1039
40,1,1078
41,2,594
42,0,1038
43,1,1078
44,2,599
45,0,1033
46,1,3042
47,2,588
48,0,1040
49,1,1074
50,2,601
51,0,1039
52,1,1070
53,2,593
54,0,1035
55,1,1073
56,2,596
57,0,1038
58,1,1073
59,2,589
60,0,1041
61,1,1076
62,2,591
63,0,1035
64,1,1075
65,2,603
66,0,1038
67,1,1071
68,2,591
69,0,1032
70,1,1065
71,2,593
72,0,1041
73,1,1072
74,2,588
75,0,1038
76,1,1064
77,2,597
78,0,1040
79,1,1072
80,2,600
81,0,1033
82,1,1074
83,2,590
84,0,1041
85,1,1074
86,2,593
87,0,1040
88,1,1076
89,2,594
90,0,1036
91,1,1074
92,2,595
93,0,1039
94,1,1077
95,2,591
96,0,1033
97,1,1074
98,2,596
99,0,1036
100,1,3042
101,2,588
102,0,1042
103,1,1076
104,2,592
105,0,1037
106,1,1070
107,2,595
108,0,1036
109,1,1079
110,2,590
111,0,1035
112,1,1076
113,2,589
114,0,1033
115,1,1068
116,2,596
117,0,1031
118,1,1066
119,2,599
120,0,1041
121,1,1071
122,2,589
123,0,1037
124,1,1071
125,2,598
126,0,1033
127,1,1070
128,2,591
129,0,1040
130,1,1065
131,2,592
132,0,1033
133,1,1066
134,2,599
135,0,1035
136,1,1066
137,2,595
138,0,1036
139,1,1078
140,2,599
141,0,1035
142,1,1077
143,2,597
144,0,1037
145,1,1073
146,2,596
147,0,1042
148,1,1079
149,2,588
150,0,1036
151,1,1079
152,2,598
153,0,1038
154,1,1071
155,2,596
156,0,1043
157,1,1071
158,2,588
159,0,1042
160,1,1077
161,2,601
162,0,1038
163,1,1079
164,2,597
165,0,1039
166,1,1079
167,2,588
168,0,1037
169,1,1079
170,2,601
171,0,1033
172,1,1078
173,2,599
174,0,1036
175,1,1071
176,2,592
177,0,1039
178,1,1073
179,2,595
180,0,1041
181,1,1072
182,2,598
183,0,1037
184,1,1072
185,2,597
186,0,1040
187,1,1072
188,2,590
189,0,1036
190,1,1074
191,2,3042
192,0,1032
193,1,1076
194,2,597
195,0,1036
196,1,1076
197,2,592
198,0,1036
199,1,1076
200,2,590
201,0,1034
202,1,1077
