,ID,TOF
0,1,2354
1,2,1073
2,0,572
3,1,822
4,2,1069
5,0,576
6,1,825
7,2,1069
8,0,571
9,1,823
10,2,1072
11,0,567
12,1,827
13,2,1069
14,0,573
15,1,825
16,2,1065
17,0,567
18,1,830
19,2,1070
20,0,573
21,1,826
22,2,1067
23,0,568
24,1,826
25,2,1062
26,0,575
27,1,833
28,2,1070
29,0,574
30,1,821
31,2,1073
32,0,577
33,1,823
34,2,1070
35,0,569
36,1,832
37,2,1071
38,0,571
39,1,825
40,2,1077
41,0,572
42,1,823
43,2,1075
44,0,570
45,1,822
46,2,1072
47,0,572
48,1,833
49,2,1068
50,0,573
51,1,821
52,2,1069
53,0,573
54,1,828
55,2,1077
56,0,574
57,1,826
58,2,1079
59,0,570
60,1,822
61,2,1065
62,0,575
63,1,829
64,2,1069
65,0,577
66,1,825
67,2,1076
68,0,569
69,1,824
70,2,1069
71,0,575
72,1,827
73,2,1065
74,0,569
75,1,827
76,2,1069
77,0,577
78,1,820
79,2,1067
80,0,571
81,1,818
82,2,1070
83,0,577
84,1,822
85,2,1077
86,0,571
87,1,826
88,2,1062
89,0,571
90,1,824
91,2,1063
92,0,579
93,1,826
94,2,1072
95,0,573
96,1,827
97,2,1069
98,0,567
99,1,822
100,2,1068
101,0,572
102,1,822
103,2,1078
104,0,573
105,1,824
106,2,1070
107,0,572
108,1,822
109,2,1070
110,0,576
111,1,820
112,2,1072
113,0,576
114,1,827
115,2,1070
116,0,574
117,1,822
118,2,1068
119,0,574
120,1,823
121,2,1073
122,0,573
123,1,824
124,2,1071
125,0,571
126,1,826
127,2,1064
128,0,570
129,1,826
130,2,1072
131,0,575
132,1,819
133,2,1066
134,0,575
135,1,823
136,2,1069
137,0,572
138,1,824
139,2,1068
140,0,579
141,1,827
142,2,1077
143,0,574
144,1,820
145,2,1072
146,0,574
147,1,823
148,2,1072
149,0,576
150,1,824
151,2,1073
152,0,575
153,1,826
154,2,1065
155,0,569
156,1,823
157,2,1066
158,0,577
159,1,821
160,2,1078
161,0,576
162,1,830
163,2,1070
164,0,575
165,1,823
166,2,1076
167,0,573
168,1,831
169,2,1075
170,0,580
171,1,826
172,2,1077
173,0,574
174,1,826
175,2,1080
176,0,576
177,1,825
178,2,1075
179,0,575
180,1,827
181,2,1075
182,0,577
183,1,823
184,2,1069
185,0,571
186,1,822
187,2,1065
188,0,571
189,1,824
190,2,1068
191,0,573
192,1,824
193,2,1074
194,0,577
195,1,825
196,2,1069
197,0,571
198,1,823
199,2,1080
200,0,568
201,1,818
202,2,1078
