i,ID,TOF
0,0,1576
1,1,1243
2,2,628
3,0,961
4,1,1249
5,2,624
6,0,962
7,1,1249
8,2,625
9,0,958
10,1,1245
11,2,623
12,0,957
13,1,1243
14,2,628
15,0,961
16,1,1242
17,2,624
18,0,960
19,1,3042
20,2,622
21,0,958
22,1,1247
23,2,629
24,0,966
25,1,1244
26,2,619
27,0,956
28,1,1244
29,2,623
30,0,960
31,1,1239
32,2,627
33,0,959
34,1,1240
35,2,628
36,0,957
37,1,1242
38,2,620
39,0,964
40,1,1239
41,2,630
42,0,963
43,1,1244
44,2,628
45,0,960
46,1,1241
47,2,620
48,0,960
49,1,1236
50,2,618
51,0,959
52,1,1244
53,2,631
54,0,956
55,1,1241
56,2,623
57,0,960
58,1,1244
59,2,617
60,0,961
61,1,1243
62,2,621
63,0,958
64,1,3042
65,2,622
66,0,960
67,1,1251
68,2,619
69,0,960
70,1,1245
71,2,619
72,0,960
73,1,1251
74,2,629
75,0,958
76,1,1244
77,2,621
78,0,963
79,1,1243
80,2,619
81,0,964
82,1,1245
83,2,621
84,0,962
85,1,1243
86,2,622
87,0,958
88,1,1242
89,2,621
90,0,957
91,1,1246
92,2,619
93,0,958
94,1,1241
95,2,630
96,0,960
97,1,1243
98,2,623
99,0,959
100,1,1253
101,2,617
102,0,964
103,1,1250
104,2,624
105,0,965
106,1,1250
107,2,626
108,0,961
109,1,1244
110,2,621
111,0,963
112,1,1240
113,2,625
114,0,960
115,1,1239
116,2,623
117,0,958
118,1,1236
119,2,620
120,0,964
121,1,1247
122,2,620
123,0,960
124,1,1247
125,2,622
126,0,958
127,1,1241
128,2,623
129,0,964
130,1,1247
131,2,621
132,0,958
133,1,1245
134,2,625
135,0,963
136,1,1238
137,2,621
138,0,959
139,1,1241
140,2,626
141,0,958
142,1,1247
143,2,623
144,0,963
145,1,1245
146,2,618
147,0,961
148,1,1238
149,2,620
150,0,960
151,1,1247
152,2,626
153,0,958
154,1,1246
155,2,618
156,0,959
157,1,1248
158,2,623
159,0,962
160,1,1241
161,2,624
162,0,960
163,1,1244
164,2,619
165,0,961
166,1,1246
167,2,623
168,0,957
169,1,1240
170,2,627
171,0,3042
172,1,1248
173,2,626
174,0,963
175,1,1248
176,2,618
177,0,962
178,1,1250
179,2,626
180,0,958
181,1,1250
182,2,626
183,0,956
184,1,1249
185,2,622
186,0,963
187,1,1245
188,2,623
189,0,962
190,1,1243
191,2,618
192,0,961
193,1,1245
194,2,622
195,0,962
196,1,1242
197,2,620
198,0,959
199,1,1239
200,2,619
201,0,960
202,1,1241
