X,Y,Z,ID,TOF
-1.1863,0.1650,-0.3975,1,1266
-1.4129,-0.7651,0.7834,2,554
-1.4000,-0.7414,0.7976,0,1116
-1.0024,-0.9036,0.9930,1,881
-0.9584,-0.8376,0.9110,2,550
-1.0118,-0.9744,0.8526,0,1121
-0.9781,-0.9871,0.8705,1,882
-0.9425,-0.9406,0.8008,2,559
-0.9575,-0.9794,0.7833,0,1124
-0.9329,-0.9912,0.7996,1,881
-0.9404,-0.9995,0.8107,2,548
-0.9326,-0.9838,0.8205,0,1119
-0.9446,-0.9800,0.8144,1,883
-0.9493,-0.9843,0.8208,2,547
-0.9537,-0.9948,0.8180,0,1124
-0.9621,-0.9920,0.8126,1,886
-0.9605,-0.9899,0.8096,2,547
-0.9587,-0.9901,0.8090,0,1125
-0.9535,-0.9941,0.8128,1,884
-0.9503,-0.9902,0.8062,2,549
-0.9373,-0.9584,0.8206,0,1113
-0.9387,-0.9599,0.8221,1,882
-0.9428,-0.9639,0.8288,2,549
-0.9479,-0.9800,0.8244,0,1119
-0.9422,-0.9833,0.8284,1,880
-0.9349,-0.9737,0.8134,2,552
-0.9376,-0.9830,0.8116,0,1120
-0.9389,-0.9852,0.8116,1,881
-0.9395,-0.9847,0.8111,2,550
-0.9274,-0.9563,0.8232,0,1111
-0.9273,-0.9572,0.8239,1,879
-0.9278,-0.9569,0.8240,2,553
-0.9376,-0.9830,0.8154,0,1120
-0.9474,-0.9789,0.8098,1,884
-0.9476,-0.9774,0.8084,2,551
-0.9453,-0.9753,0.8077,0,1120
-0.9444,-0.9759,0.8067,1,884
-0.9457,-0.9774,0.8084,2,551
-0.9373,-0.9584,0.8168,0,1113
-0.9245,-0.9643,0.8256,1,878
-0.9305,-0.9730,0.8377,2,547
-0.9387,-0.9936,0.8295,0,1121
-0.9537,-0.9891,0.8205,1,883
-0.9449,-0.9777,0.8013,2,553
-0.9357,-0.9605,0.8104,0,1115
-0.9327,-0.9630,0.8130,1,882
-0.9307,-0.9610,0.8093,2,555
-0.9319,-0.9643,0.8104,0,1115
-0.9327,-0.9660,0.8100,1,882
-0.9321,-0.9665,0.8100,2,554
-0.9398,-0.9851,0.8013,0,1122
-0.9331,-0.9893,0.8072,1,880
-0.9316,-0.9872,0.8013,2,553
-0.9299,-0.9830,0.8039,0,1120
-0.9329,-0.9822,0.8026,1,881
-0.9321,-0.9817,0.8005,2,554
-0.9276,-0.9732,0.8065,0,1118
-0.9439,-0.9677,0.7974,1,886
-0.9481,-0.9737,0.8058,2,552
-0.9502,-0.9783,0.8064,0,1121
-0.9502,-0.9779,0.8081,1,885
-0.9454,-0.9722,0.7986,2,554
-0.9395,-0.9567,0.8065,0,1115
-0.9327,-0.9599,0.8100,1,882
-0.9326,-0.9590,0.8093,2,555
-0.9398,-0.9812,0.8013,0,1122
-0.9188,-0.9905,0.8138,1,876
-0.9235,-0.9957,0.8220,2,548
-0.9267,-1.0064,0.8180,0,1124
-0.9391,-1.0014,0.8102,1,880
-0.9266,-0.9844,0.7843,2,558
-0.9199,-0.9694,0.7911,0,1118
-0.9348,-0.9646,0.7822,1,886
-0.9449,-0.9777,0.8013,2,553
-0.9369,-0.9635,0.8091,0,1116
-0.9329,-0.9671,0.8116,1,881
-0.9432,-0.9804,0.8310,2,546
-0.9510,-1.0017,0.8244,0,1125
-0.9624,-0.9991,0.8173,1,885
-0.9506,-0.9834,0.7937,2,553
-0.9510,-0.9862,0.7935,0,1125
-0.9303,-0.9964,0.8059,1,879
-0.9334,-0.9996,0.8099,2,549
-0.9215,-0.9749,0.8206,0,1116
-0.9329,-0.9701,0.8147,1,881
-0.9440,-0.9838,0.8362,2,544
