X,Y,Z,ID,TOF
1.2005,-1.4856,2.0345,2,175
0.8184,0.1974,2.1327,0,642
0.1203,2.2404,2.0265,1,1286
-0.2244,1.4552,2.0731,2,1078
-0.8167,0.5143,1.8790,0,639
-1.5053,1.2239,1.7747,1,1287
-1.4789,1.7009,1.7023,2,1073
-1.6424,1.6441,1.6539,0,636
-1.3708,1.3412,1.7080,1,1288
-1.3360,1.7127,1.6456,2,1082
-1.6178,1.6078,1.5436,0,643
-1.3573,1.3178,1.6040,1,1284
-1.3243,1.6604,1.5366,2,1073
-1.5701,1.5611,1.4305,0,647
-1.3396,1.2996,1.4951,1,1282
-1.3055,1.6342,1.4181,2,1074
-1.4845,1.5588,1.3281,0,638
-1.2890,1.3336,1.3875,1,1285
-1.2576,1.6048,1.3149,2,1074
-1.4117,1.5338,1.2247,0,637
-1.2450,1.3380,1.2817,1,1285
-1.2139,1.5647,1.2164,2,1073
-1.3396,1.5032,1.1330,0,637
-1.2117,1.3500,1.1823,1,1288
-1.1859,1.5219,1.1276,2,1070
-1.2636,1.4816,1.0702,0,632
-1.1675,1.3633,1.1116,1,1288
-1.1507,1.4866,1.0686,2,1067
-1.2461,1.4323,0.9933,0,647
-1.1633,1.3317,1.0340,1,1286
-1.1366,1.4986,0.9726,2,1080
-1.1734,1.4783,0.9406,0,636
-1.0863,1.3688,0.9820,1,1285
-1.0717,1.4669,0.9466,2,1077
-1.1280,1.4334,0.8950,0,640
-1.0727,1.3651,0.9227,1,1287
-1.0630,1.4285,0.8963,2,1073
-1.0884,1.4129,0.8730,0,639
-1.0571,1.3721,0.8907,1,1288
-1.0452,1.4331,0.8677,2,1078
-1.0600,1.4238,0.8533,0,636
-1.0266,1.3802,0.8752,1,1286
-1.0156,1.4406,0.8488,2,1084
-1.0273,1.4339,0.8361,0,632
-0.9997,1.3986,0.8510,1,1288
-0.9985,1.4084,0.8482,2,1076
-1.0184,1.3939,0.8271,0,637
-1.0045,1.3758,0.8355,1,1286
-1.0022,1.3973,0.8260,2,1076
-1.0224,1.3850,0.8048,0,643
-1.0109,1.3696,0.8123,1,1287
-1.0102,1.3868,0.8052,2,1075
-0.9927,1.3992,0.8253,0,632
-0.9849,1.3865,0.8322,1,1285
-0.9850,1.3911,0.8324,2,1074
-1.0113,1.3718,0.8048,0,643
-1.0026,1.3644,0.8101,1,1285
-0.9985,1.3862,0.8002,2,1076
-0.9964,1.3866,0.8007,0,639
-0.9889,1.3784,0.8035,1,1287
-0.9894,1.3770,0.8043,2,1073
-0.9878,1.3771,0.8051,0,638
-0.9869,1.3802,0.8046,1,1286
-0.9867,1.3893,0.8025,2,1077
-0.9816,1.3940,0.8077,0,634
-0.9859,1.3994,0.8045,1,1290
-0.9891,1.3992,0.8072,2,1079
-1.0028,1.3902,0.7939,0,641
-0.9953,1.3810,0.7980,1,1288
-0.9954,1.3831,0.7979,2,1075
-0.9963,1.3829,0.7984,0,640
-0.9913,1.3758,0.8046,1,1286
-0.9865,1.4078,0.7907,2,1083
-0.9858,1.4085,0.7922,0,636
-0.9790,1.4019,0.7946,1,1291
-0.9817,1.3955,0.7998,2,1079
-0.9960,1.3865,0.7850,0,642
-0.9849,1.3732,0.7925,1,1285
-0.9877,1.3604,0.7973,2,1070
