i,ID,TOF
0,1,248
1,2,718
2,0,1004
3,1,902
4,2,713
5,0,1008
6,1,898
7,2,718
8,0,1007
9,1,900
10,2,715
11,0,1002
12,1,910
13,2,726
14,0,1005
15,1,906
16,2,724
17,0,1001
18,1,907
19,2,716
20,0,1004
21,1,902
22,2,724
23,0,1003
24,1,907
25,2,721
26,0,1007
27,1,903
28,2,723
29,0,1001
30,1,901
31,2,720
32,0,1009
33,1,908
34,2,715
35,0,1006
36,1,899
37,2,719
38,0,1008
39,1,903
40,2,715
41,0,1004
42,1,903
43,2,725
44,0,1005
45,1,903
46,2,718
47,0,1002
48,1,903
49,2,723
50,0,999
51,1,903
52,2,718
53,0,1004
54,1,909
55,2,714
56,0,1008
57,1,910
58,2,722
59,0,1002
60,1,901
61,2,721
62,0,1007
63,1,912
64,2,722
65,0,1004
66,1,907
67,2,711
68,0,1005
69,1,911
70,2,723
71,0,1001
72,1,911
73,2,719
74,0,1007
75,1,904
76,2,727
77,0,1001
78,1,905
79,2,713
80,0,1007
81,1,898
82,2,717
83,0,1004
84,1,904
85,2,723
86,0,1006
87,1,904
88,2,712
89,0,1001
90,1,899
91,2,722
92,0,1004
93,1,901
94,2,721
95,0,1008
96,1,907
97,2,719
98,0,1005
99,1,907
100,2,724
101,0,1006
102,1,905
103,2,715
104,0,1002
105,1,898
106,2,723
107,0,1006
108,1,909
109,2,724
110,0,1005
111,1,902
112,2,718
113,0,1008
114,1,903
115,2,716
116,0,1004
117,1,901
118,2,720
119,0,1004
120,1,901
121,2,721
122,0,1003
123,1,896
124,2,722
125,0,1004
126,1,905
127,2,724
128,0,1009
129,1,907
130,2,715
131,0,1002
132,1,907
133,2,724
134,0,1000
135,1,903
136,2,714
137,1,1002
138,2,721
139,0,1005
140,1,905
141,2,723
142,0,1007
143,1,904
144,2,720
145,0,1006
146,1,906
147,2,722
148,0,1002
149,1,912
150,2,721
151,0,1002
152,1,907
153,2,711
154,0,1007
155,1,908
156,2,718
157,0,1008
158,1,904
159,2,716
160,1,1003
161,2,726
162,0,1000
163,1,898
164,2,720
165,0,1003
166,1,895
167,2,719
168,1,1007
169,2,715
170,0,1001
171,1,898
172,2,722
173,1,1004
174,2,715
175,0,1000
176,1,896
177,2,720
178,0,1002
179,1,902
180,2,719
181,0,1005
182,1,897
183,2,725
184,0,1001
185,1,900
186,2,715
187,0,1000
188,1,905
189,2,720
190,0,1002
191,1,898
192,2,722
193,0,1002
194,1,906
195,2,715
196,0,1007
197,1,896
198,2,718
199,0,1007
200,1,905
201,2,725
202,0,1006
