,x,y,z
0,1.545,-1.928,2.247
1,1.545,-1.928,2.247
2,1.545,-1.928,2.247
3,0.5740928353043733,1.4938264070362797,2.239784339816465
4,0.5740928353043733,1.4938264070362797,2.239784339816465
5,0.5740928353043733,1.4938264070362797,2.239784339816465
6,0.5731565699575115,1.4971261432050706,2.239777381609924
7,0.5731565699575115,1.4971261432050706,2.239777381609924
8,0.5731565699575115,1.4971261432050706,2.239777381609924
9,0.5703477739169263,1.507025351711444,2.2397565069902994
10,0.5703477739169263,1.507025351711444,2.2397565069902994
11,0.5703477739169263,1.507025351711444,2.2397565069902994
12,0.5703477739169263,1.507025351711444,2.2397565069902994
13,0.5703477739169263,1.507025351711444,2.2397565069902994
14,0.03726431329318447,0.9668904740521431,0.7993326213619079
15,0.04104276779098415,0.9650924296214352,0.8002641300661217
16,0.03327860775033509,0.9628816762301917,0.8039416483553923
17,0.03325872275607589,0.9498314435612922,0.7781091486680032
18,0.04833628527742584,0.9426564300792659,0.7818892547396314
19,0.08730318168833562,0.9537495829124052,0.7644820616032229
20,0.08729829727288219,0.9504593056809232,0.7581085056978261
21,0.09856866310415158,0.9450955455180186,0.7612834220248443
22,0.075144691375862,0.9384278480586898,0.7714281990756702
23,0.07515453310840114,0.9449972388272743,0.7842503477186953
24,0.060120298565056185,0.9521520111131441,0.7802125534872519
25,0.07963099216542924,0.9577062666326066,0.7715333749300759
26,0.0796433216692185,0.9658559720912221,0.7875699173432971
27,0.07587567780288773,0.967648998803984,0.7865509193216074
28,0.07587567780288795,0.967648998803984,0.7865509193216071
29,0.07586826885744968,0.9627674617385593,0.7769196095778632
30,0.0645436200386611,0.9681567685626105,0.7739339879554783
31,0.014005544634759115,0.9537672986932622,0.7975615533169289
32,0.014023121902881241,0.9651184100123311,0.8203345657514067
33,0.036639303363543485,0.9543562132918546,0.8258294715129273
34,0.036639303363543485,0.9543562132918546,0.8258294715129268
35,0.03660435045782329,0.9315186133699376,0.7804561490589157
36,0.040361043842084054,0.9297308830990811,0.7814116417650676
37,0.07918253374436102,0.9407832755017544,0.7637686969925006
38,0.07919973684347714,0.9522701079696363,0.7861827225601259
39,0.060379723772880034,0.9612265029021874,0.7811454836025136
40,0.07209700578992462,0.9645621922304297,0.7759128691249844
41,0.07209700578992417,0.9645621922304293,0.7759128691249844
